,fibro,endo,immune
ABCC8,30.0,44.0,25.0
ABCC9,1.0,0.0,0.0
ABCD1,9.0,9.0,8.0
ABCD2,0.0,0.0,0.0
ABCD3,52.0,39.0,4.0
ABCD4,17.0,35.0,12.0
ABCE1,31.0,38.0,7.0
ABCF1,84.0,97.0,28.0
ABCF2,44.0,38.0,13.0
ABCF3,20.0,23.0,12.0
ABCG1,1.0,84.0,9.0
ABCG2,0.0,3.0,0.0
ABCG4,2.0,0.0,1.0
ABCG5,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0
ABHD1,0.0,0.0,1.0
ABHD10,4.0,2.0,0.0
ABHD11,10.0,3.0,6.0
ABHD12,45.0,28.0,120.0
ABHD12B,0.0,0.0,0.0
ABHD13,25.0,29.0,8.0
ABHD14A,8.0,13.0,5.0
ABHD14A.ACY1,13.0,9.0,1.0
ABHD14B,37.0,32.0,19.0
ABHD15,22.0,13.0,7.0
ABHD16A,1.0,5.0,3.0
ABHD16B,0.0,0.0,0.0
ABHD17A,86.0,155.0,38.0
ABHD17B,15.0,8.0,5.0
ABHD17C,7.0,35.0,0.0
ABHD2,150.0,48.0,74.0
ABHD3,14.0,16.0,14.0
ABHD4,29.0,38.0,21.0
ABHD5,16.0,30.0,12.0
ABHD6,9.0,3.0,8.0
ABHD8,13.0,14.0,7.0
ABI1,43.0,42.0,26.0
ABI2,84.0,66.0,21.0
ABI3,0.0,178.0,69.0
ABI3BP,16.0,1.0,0.0
ABL1,176.0,106.0,10.0
ABL2,61.0,74.0,15.0
ABLIM1,0.0,0.0,0.0
ABLIM2,4.0,6.0,1.0
ABLIM3,34.0,26.0,0.0
ABO,0.0,1.0,0.0
ABR,43.0,35.0,60.0
ABRA,0.0,0.0,0.0
ABRACL,22.0,59.0,24.0
ABT1,52.0,72.0,15.0
ABTB1,29.0,30.0,20.0
ABTB2,13.0,4.0,0.0
ACAA1,46.0,28.0,32.0
ACAA2,62.0,51.0,46.0
ACACA,11.0,11.0,3.0
ACACB,3.0,8.0,5.0
ACAD10,8.0,4.0,5.0
ACAD11,2.0,1.0,0.0
ACAD8,26.0,11.0,3.0
ACAD9,68.0,51.0,31.0
ACADL,0.0,0.0,0.0
ACADM,27.0,46.0,15.0
ACADS,11.0,9.0,11.0
ACADSB,8.0,6.0,5.0
ACADVL,335.0,104.0,139.0
ACAN,11.0,0.0,0.0
ACAP1,5.0,2.0,10.0
ACAP2,33.0,22.0,8.0
ACAP3,18.0,9.0,3.0
ACAT1,52.0,58.0,15.0
ACAT2,27.0,19.0,9.0
ACBD3,93.0,54.0,18.0
ACBD4,7.0,2.0,2.0
ACBD5,21.0,26.0,5.0
ACBD6,54.0,37.0,10.0
ACBD7,0.0,0.0,0.0
ACCS,5.0,2.0,1.0
ACCSL,0.0,0.0,0.0
ACD,18.0,13.0,9.0
ACE,2.0,200.0,3.0
ACE2,0.0,0.0,0.0
ACER1,0.0,0.0,0.0
ACER2,0.0,0.0,0.0
ACER3,15.0,21.0,29.0
ACHE,0.0,4.0,3.0
ACIN1,97.0,62.0,21.0
ACKR1,0.0,0.0,0.0
ACKR2,0.0,0.0,0.0
ACKR3,39.0,507.0,13.0
ACKR4,31.0,0.0,0.0
ACLY,139.0,112.0,25.0
ACMSD,0.0,1.0,0.0
ACO1,71.0,32.0,13.0
ACO2,98.0,61.0,17.0
ACOT1,1.0,1.0,0.0
ACOT11,0.0,0.0,2.0
ACOT12,0.0,0.0,0.0
ACOT13,20.0,19.0,19.0
ACOT2,24.0,6.0,14.0
ACOT4,0.0,2.0,1.0
ACOT6,0.0,0.0,0.0
ACOT7,5.0,16.0,4.0
ACOT8,31.0,16.0,9.0
ACOT9,43.0,29.0,21.0
ACOX1,27.0,34.0,11.0
ACOX2,4.0,0.0,0.0
ACOX3,16.0,18.0,2.0
ACOXL,0.0,0.0,0.0
ACP1,78.0,58.0,11.0
ACP2,32.0,31.0,30.0
ACP5,94.0,13.0,2874.0
ACP6,4.0,8.0,2.0
ACPP,2.0,0.0,3.0
ACPT,0.0,0.0,0.0
ACR,0.0,0.0,0.0
ACRBP,0.0,2.0,1.0
ACRC,2.0,0.0,3.0
ACRV1,0.0,0.0,0.0
ACSBG1,0.0,0.0,0.0
ACSBG2,0.0,0.0,0.0
ACSF2,13.0,8.0,11.0
ACSF3,7.0,12.0,6.0
ACSL1,34.0,23.0,55.0
ACSL3,113.0,47.0,25.0
ACSL4,70.0,37.0,24.0
ACSL5,2.0,53.0,13.0
ACSL6,0.0,1.0,0.0
ACSM1,0.0,0.0,0.0
ACSM2A,0.0,0.0,0.0
ACSM2B,0.0,0.0,0.0
ACSM3,0.0,0.0,0.0
ACSM5,0.0,0.0,0.0
ACSM6,0.0,0.0,0.0
ACSS1,4.0,36.0,4.0
ACSS2,20.0,26.0,11.0
ACSS3,16.0,1.0,0.0
ACTA1,3.0,1.0,0.0
ACTA2,158.0,15.0,3.0
ACTB,2388.0,2308.0,1890.0
ACTBL2,0.0,0.0,0.0
ACTC1,3.0,0.0,0.0
ACTG1,2719.0,2545.0,972.0
ACTG1P17,1.0,1.0,0.0
ACTG2,3.0,0.0,0.0
ACTL10,1.0,2.0,0.0
ACTL6A,67.0,69.0,16.0
ACTL6B,1.0,1.0,2.0
ACTL7A,0.0,0.0,0.0
ACTL7B,0.0,0.0,0.0
ACTL8,0.0,0.0,0.0
ACTL9,0.0,0.0,0.0
ACTN1,790.0,206.0,111.0
ACTN2,0.0,0.0,0.0
ACTN3,0.0,0.0,0.0
ACTN4,215.0,468.0,124.0
ACTR10,72.0,86.0,13.0
ACTR1A,174.0,144.0,56.0
ACTR1B,80.0,65.0,17.0
ACTR2,205.0,218.0,130.0
ACTR3,201.0,159.0,101.0
ACTR3B,7.0,9.0,5.0
ACTR3C,2.0,3.0,2.0
ACTR5,4.0,5.0,0.0
ACTR6,16.0,27.0,4.0
ACTR8,16.0,12.0,4.0
ACTRT1,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0
ACTRT3,1.0,0.0,0.0
ACVR1,103.0,40.0,13.0
ACVR1B,21.0,30.0,15.0
ACVR1C,3.0,3.0,1.0
ACVR2A,12.0,2.0,1.0
ACVR2B,5.0,5.0,2.0
ACVRL1,23.0,772.0,15.0
ACY1,0.0,0.0,0.0
ACY3,0.0,0.0,0.0
ACYP1,9.0,14.0,2.0
ACYP2,20.0,14.0,5.0
ADA,23.0,62.0,10.0
ADAD1,0.0,0.0,0.0
ADAD2,0.0,3.0,0.0
ADAL,7.0,2.0,0.0
ADAM10,52.0,99.0,27.0
ADAM11,1.0,1.0,0.0
ADAM12,49.0,4.0,13.0
ADAM15,28.0,85.0,15.0
ADAM17,32.0,60.0,17.0
ADAM18,0.0,0.0,0.0
ADAM19,31.0,28.0,9.0
ADAM2,0.0,0.0,0.0
ADAM20,0.0,0.0,0.0
ADAM20P1,0.0,1.0,1.0
ADAM22,0.0,2.0,0.0
ADAM23,6.0,0.0,0.0
ADAM28,0.0,2.0,37.0
ADAM29,0.0,0.0,0.0
ADAM30,0.0,0.0,0.0
ADAM32,1.0,1.0,0.0
ADAM33,2.0,0.0,0.0
ADAM3A,0.0,0.0,0.0
ADAM5,0.0,0.0,0.0
ADAM6,0.0,0.0,0.0
ADAM7,0.0,0.0,0.0
ADAM8,0.0,0.0,47.0
ADAM9,81.0,44.0,44.0
ADAMDEC1,14.0,0.0,114.0
ADAMTS1,170.0,116.0,0.0
ADAMTS10,29.0,15.0,0.0
ADAMTS12,265.0,3.0,1.0
ADAMTS13,0.0,0.0,0.0
ADAMTS14,12.0,1.0,1.0
ADAMTS15,0.0,0.0,0.0
ADAMTS16,3.0,0.0,0.0
ADAMTS17,0.0,0.0,0.0
ADAMTS18,0.0,0.0,2.0
ADAMTS19,0.0,0.0,0.0
ADAMTS2,116.0,2.0,0.0
ADAMTS20,0.0,0.0,0.0
ADAMTS3,3.0,3.0,1.0
ADAMTS4,423.0,626.0,0.0
ADAMTS5,17.0,70.0,1.0
ADAMTS6,16.0,0.0,0.0
ADAMTS7,20.0,88.0,21.0
ADAMTS8,0.0,0.0,0.0
ADAMTS9,73.0,212.0,0.0
ADAMTSL1,0.0,0.0,0.0
ADAMTSL2,62.0,61.0,2.0
ADAMTSL3,2.0,0.0,0.0
ADAMTSL4,2.0,0.0,12.0
ADAMTSL5,2.0,0.0,0.0
ADAP1,7.0,4.0,14.0
ADAP2,32.0,12.0,77.0
ADAR,86.0,108.0,50.0
ADARB1,7.0,51.0,4.0
ADARB2,0.0,0.0,0.0
ADAT1,1.0,0.0,1.0
ADAT2,1.0,2.0,3.0
ADAT3,16.0,9.0,5.0
ADCK1,4.0,11.0,9.0
ADCK2,16.0,10.0,11.0
ADCK3,6.0,13.0,8.0
ADCK4,13.0,9.0,3.0
ADCK5,9.0,4.0,4.0
ADCY1,3.0,3.0,4.0
ADCY10,0.0,0.0,0.0
ADCY10P1,0.0,3.0,1.0
ADCY2,4.0,2.0,0.0
ADCY3,312.0,38.0,37.0
ADCY4,11.0,35.0,1.0
ADCY5,7.0,1.0,4.0
ADCY6,62.0,32.0,4.0
ADCY7,2.0,3.0,18.0
ADCY8,0.0,0.0,0.0
ADCY9,43.0,20.0,5.0
ADCYAP1,13.0,22.0,10.0
ADCYAP1R1,4.0,1.0,0.0
ADD1,174.0,111.0,52.0
ADD2,0.0,2.0,0.0
ADD3,71.0,135.0,18.0
ADGB,0.0,0.0,0.0
ADGRA1,1.0,1.0,0.0
ADGRA2,171.0,38.0,2.0
ADGRA3,18.0,0.0,1.0
ADGRB1,1.0,1.0,0.0
ADGRB2,10.0,0.0,0.0
ADGRB3,8.0,2.0,0.0
ADGRD1,8.0,2.0,0.0
ADGRD2,0.0,0.0,0.0
ADGRE1,0.0,0.0,0.0
ADGRE2,7.0,0.0,20.0
ADGRE3,0.0,0.0,5.0
ADGRE4P,0.0,0.0,0.0
ADGRE5,53.0,14.0,32.0
ADGRF1,0.0,0.0,0.0
ADGRF2,0.0,0.0,0.0
ADGRF3,0.0,0.0,0.0
ADGRF4,0.0,0.0,0.0
ADGRF5,74.0,391.0,0.0
ADGRF5P1,0.0,0.0,0.0
ADGRG1,25.0,137.0,11.0
ADGRG2,6.0,1.0,1.0
ADGRG3,0.0,0.0,0.0
ADGRG4,0.0,0.0,0.0
ADGRG5,0.0,0.0,2.0
ADGRG6,0.0,4.0,0.0
ADGRG7,0.0,0.0,0.0
ADGRL1,26.0,21.0,11.0
ADGRL2,29.0,138.0,0.0
ADGRL3,0.0,0.0,0.0
ADGRL4,2.0,395.0,0.0
ADGRV1,2.0,0.0,0.0
ADH1A,0.0,0.0,0.0
ADH1B,1.0,0.0,0.0
ADH1C,2.0,0.0,0.0
ADH4,0.0,0.0,0.0
ADH5,71.0,37.0,9.0
ADH6,0.0,0.0,0.0
ADH7,0.0,0.0,0.0
ADHFE1,0.0,1.0,1.0
ADI1,84.0,42.0,29.0
ADIG,0.0,0.0,0.0
ADIPOQ,0.0,0.0,0.0
ADIPOR1,111.0,136.0,65.0
ADIPOR2,64.0,54.0,30.0
ADIRF,289.0,35.0,0.0
ADK,59.0,16.0,10.0
ADM,280.0,187.0,89.0
ADM2,0.0,0.0,0.0
ADM5,0.0,0.0,0.0
ADNP,65.0,43.0,17.0
ADNP2,25.0,20.0,10.0
ADO,50.0,34.0,8.0
ADORA1,6.0,0.0,1.0
ADORA2A,0.0,2.0,0.0
ADORA2B,6.0,0.0,0.0
ADORA3,0.0,1.0,55.0
ADPGK,59.0,34.0,76.0
ADPRH,3.0,17.0,16.0
ADPRHL1,0.0,1.0,0.0
ADPRHL2,37.0,31.0,14.0
ADPRM,13.0,5.0,1.0
ADRA1A,0.0,0.0,0.0
ADRA1B,0.0,0.0,0.0
ADRA1D,3.0,0.0,0.0
ADRA2A,3.0,3.0,1.0
ADRA2B,1.0,0.0,0.0
ADRA2C,61.0,9.0,0.0
ADRB1,0.0,4.0,0.0
ADRB2,0.0,2.0,18.0
ADRB3,0.0,0.0,0.0
ADRBK1,60.0,47.0,50.0
ADRBK2,12.0,8.0,27.0
ADRM1,182.0,222.0,48.0
ADSL,62.0,53.0,14.0
ADSS,53.0,60.0,24.0
ADSSL1,3.0,3.0,3.0
ADTRP,19.0,0.0,3.0
AEBP1,689.0,67.0,0.0
AEBP2,41.0,18.0,5.0
AEN,29.0,29.0,7.0
AES,301.0,338.0,102.0
AFAP1,68.0,70.0,2.0
AFAP1L1,5.0,104.0,0.0
AFAP1L2,31.0,2.0,0.0
AFF1,27.0,61.0,18.0
AFF2,0.0,1.0,0.0
AFF3,0.0,0.0,0.0
AFF4,133.0,72.0,24.0
AFG3L1P,11.0,1.0,0.0
AFG3L2,74.0,46.0,28.0
AFM,0.0,0.0,0.0
AFMID,1.0,0.0,0.0
AFP,0.0,0.0,0.0
AFTPH,46.0,54.0,31.0
AGA,6.0,6.0,6.0
AGAP1,63.0,28.0,7.0
AGAP11,0.0,0.0,0.0
AGAP2,5.0,0.0,2.0
AGAP3,102.0,112.0,56.0
AGAP4,2.0,6.0,1.0
AGAP5,2.0,5.0,2.0
AGAP6,8.0,4.0,4.0
AGAP9,0.0,0.0,0.0
AGBL1,0.0,0.0,0.0
AGBL2,0.0,0.0,0.0
AGBL3,19.0,3.0,0.0
AGBL4,1.0,0.0,0.0
AGBL5,5.0,5.0,1.0
AGER,3.0,5.0,3.0
AGFG1,43.0,56.0,14.0
AGFG2,0.0,15.0,2.0
AGGF1,32.0,26.0,7.0
AGK,1.0,4.0,0.0
AGL,13.0,2.0,8.0
AGMAT,1.0,0.0,0.0
AGMO,0.0,0.0,0.0
AGO1,26.0,20.0,12.0
AGO2,86.0,64.0,18.0
AGO3,21.0,11.0,2.0
AGO4,11.0,24.0,5.0
AGPAT1,41.0,45.0,9.0
AGPAT2,70.0,10.0,36.0
AGPAT3,52.0,55.0,25.0
AGPAT4,36.0,11.0,17.0
AGPAT5,29.0,30.0,5.0
AGPAT6,68.0,76.0,28.0
AGPAT9,2.0,3.0,14.0
AGPS,40.0,20.0,19.0
AGR2,0.0,0.0,0.0
AGR3,0.0,0.0,0.0
AGRN,52.0,139.0,19.0
AGRP,0.0,0.0,0.0
AGT,30.0,35.0,1.0
AGTPBP1,2.0,7.0,3.0
AGTR1,20.0,4.0,0.0
AGTR2,0.0,0.0,0.0
AGTRAP,67.0,32.0,44.0
AGXT,0.0,0.0,0.0
AGXT2,0.0,0.0,0.0
AHCTF1,25.0,17.0,5.0
AHCY,71.0,44.0,31.0
AHCYL1,424.0,232.0,112.0
AHCYL2,5.0,13.0,3.0
AHI1,39.0,15.0,12.0
AHNAK,211.0,229.0,195.0
AHNAK2,2.0,0.0,1.0
AHR,121.0,93.0,66.0
AHRR,52.0,17.0,18.0
AHSA1,127.0,111.0,40.0
AHSA2,16.0,7.0,10.0
AHSG,0.0,0.0,0.0
AHSP,0.0,0.0,0.0
AICDA,1.0,0.0,1.0
AIDA,88.0,82.0,27.0
AIF1,0.0,0.0,91.0
AIF1L,4.0,18.0,0.0
AIFM1,38.0,31.0,16.0
AIFM2,86.0,18.0,12.0
AIFM3,1.0,2.0,1.0
AIG1,34.0,19.0,4.0
AIM1,0.0,3.0,4.0
AIM1L,0.0,0.0,0.0
AIM2,0.0,0.0,0.0
AIMP1,43.0,42.0,10.0
AIMP2,60.0,26.0,5.0
AIP,94.0,114.0,27.0
AIPL1,0.0,0.0,0.0
AIRE,0.0,0.0,1.0
AJAP1,13.0,0.0,0.0
AJUBA,13.0,4.0,0.0
AK1,69.0,91.0,13.0
AK2,137.0,102.0,28.0
AK3,117.0,77.0,28.0
AK4,66.0,18.0,5.0
AK5,5.0,0.0,0.0
AK6,35.0,38.0,4.0
AK7,1.0,2.0,1.0
AK8,2.0,2.0,2.0
AK9,2.0,2.0,1.0
AKAP1,19.0,29.0,8.0
AKAP10,27.0,19.0,13.0
AKAP11,39.0,30.0,12.0
AKAP12,168.0,28.0,0.0
AKAP13,141.0,144.0,46.0
AKAP14,0.0,0.0,0.0
AKAP17A,23.0,39.0,10.0
AKAP2,18.0,16.0,0.0
AKAP3,1.0,0.0,0.0
AKAP4,0.0,0.0,0.0
AKAP5,0.0,1.0,4.0
AKAP6,1.0,0.0,1.0
AKAP7,4.0,9.0,0.0
AKAP8,37.0,26.0,12.0
AKAP8L,40.0,23.0,7.0
AKAP9,50.0,40.0,11.0
AKIP1,27.0,33.0,20.0
AKIRIN1,90.0,63.0,30.0
AKIRIN2,20.0,16.0,11.0
AKNA,16.0,5.0,58.0
AKNAD1,0.0,0.0,0.0
AKR1A1,149.0,114.0,83.0
AKR1B1,618.0,180.0,141.0
AKR1B10,0.0,0.0,0.0
AKR1B15,0.0,0.0,0.0
AKR1C1,260.0,21.0,0.0
AKR1C2,199.0,25.0,0.0
AKR1C3,42.0,2.0,0.0
AKR1C4,0.0,0.0,0.0
AKR1C8P,0.0,0.0,0.0
AKR1D1,0.0,0.0,0.0
AKR1E2,4.0,1.0,0.0
AKR7A2,112.0,60.0,33.0
AKR7A3,3.0,0.0,0.0
AKR7L,1.0,1.0,0.0
AKT1,172.0,153.0,61.0
AKT1S1,100.0,52.0,23.0
AKT2,110.0,24.0,27.0
AKT3,105.0,110.0,8.0
AKTIP,21.0,37.0,5.0
ALAD,26.0,13.0,5.0
ALAS1,18.0,42.0,16.0
ALAS2,0.0,0.0,0.0
ALB,0.0,0.0,1.0
ALCAM,40.0,23.0,36.0
ALDH16A1,22.0,34.0,9.0
ALDH18A1,75.0,22.0,11.0
ALDH1A1,85.0,52.0,51.0
ALDH1A2,0.0,2.0,1.0
ALDH1A3,66.0,2.0,1.0
ALDH1B1,8.0,4.0,0.0
ALDH1L1,0.0,1.0,0.0
ALDH1L2,26.0,2.0,1.0
ALDH2,72.0,43.0,66.0
ALDH3A1,0.0,0.0,0.0
ALDH3A2,21.0,33.0,8.0
ALDH3B1,1.0,0.0,13.0
ALDH3B2,0.0,0.0,0.0
ALDH4A1,2.0,2.0,13.0
ALDH5A1,2.0,3.0,1.0
ALDH6A1,11.0,5.0,6.0
ALDH7A1,22.0,20.0,1.0
ALDH8A1,0.0,0.0,0.0
ALDH9A1,57.0,90.0,34.0
ALDOA,301.0,175.0,72.0
ALDOB,1.0,11.0,0.0
ALDOC,72.0,36.0,14.0
ALG1,39.0,23.0,8.0
ALG10,0.0,1.0,0.0
ALG10B,5.0,5.0,6.0
ALG11,9.0,13.0,1.0
ALG12,31.0,30.0,6.0
ALG13,20.0,47.0,16.0
ALG14,13.0,8.0,3.0
ALG1L,0.0,0.0,0.0
ALG1L9P,3.0,0.0,0.0
ALG2,57.0,51.0,14.0
ALG3,75.0,52.0,19.0
ALG5,67.0,74.0,7.0
ALG6,1.0,4.0,3.0
ALG8,10.0,9.0,6.0
ALG9,2.0,0.0,0.0
ALK,0.0,1.0,0.0
ALKBH1,7.0,18.0,3.0
ALKBH2,27.0,7.0,1.0
ALKBH3,14.0,23.0,8.0
ALKBH4,3.0,5.0,1.0
ALKBH5,267.0,139.0,67.0
ALKBH6,22.0,13.0,7.0
ALKBH7,89.0,75.0,24.0
ALKBH8,1.0,0.0,0.0
ALLC,0.0,0.0,0.0
ALMS1,8.0,2.0,0.0
ALMS1.IT1,0.0,0.0,0.0
ALMS1P,0.0,0.0,0.0
ALOX12,0.0,0.0,0.0
ALOX12B,0.0,0.0,0.0
ALOX12P2,0.0,0.0,0.0
ALOX15,0.0,0.0,0.0
ALOX15B,1.0,0.0,2.0
ALOX5,4.0,2.0,87.0
ALOX5AP,1.0,0.0,340.0
ALOXE3,0.0,0.0,0.0
ALPI,0.0,0.0,0.0
ALPK1,9.0,1.0,6.0
ALPK2,1.0,0.0,2.0
ALPK3,13.0,38.0,3.0
ALPL,2.0,23.0,0.0
ALPP,0.0,0.0,0.0
ALPPL2,0.0,0.0,0.0
ALS2,28.0,18.0,9.0
ALS2CL,1.0,1.0,1.0
ALS2CR11,3.0,1.0,0.0
ALS2CR12,1.0,0.0,0.0
ALX1,0.0,0.0,0.0
ALX3,0.0,0.0,0.0
ALX4,0.0,0.0,0.0
ALYREF,44.0,48.0,11.0
AMACR,3.0,11.0,1.0
AMBN,0.0,0.0,0.0
AMBP,1.0,0.0,0.0
AMBRA1,10.0,25.0,1.0
AMD1,59.0,40.0,18.0
AMDHD1,0.0,0.0,0.0
AMDHD2,22.0,22.0,15.0
AMELX,0.0,0.0,0.0
AMELY,0.0,0.0,0.0
AMER1,6.0,4.0,0.0
AMER2,0.0,0.0,0.0
AMER3,0.0,0.0,0.0
AMFR,49.0,29.0,21.0
AMH,1.0,0.0,0.0
AMHR2,0.0,0.0,7.0
AMICA1,0.0,0.0,48.0
AMIGO1,1.0,2.0,0.0
AMIGO2,17.0,5.0,0.0
AMIGO3,2.0,0.0,0.0
AMMECR1,15.0,15.0,0.0
AMMECR1L,43.0,21.0,7.0
AMN,0.0,0.0,1.0
AMN1,7.0,15.0,4.0
AMOT,1.0,4.0,0.0
AMOTL1,102.0,65.0,4.0
AMOTL2,27.0,35.0,0.0
AMPD1,0.0,0.0,0.0
AMPD2,93.0,44.0,21.0
AMPD3,17.0,4.0,13.0
AMPH,22.0,3.0,0.0
AMT,0.0,2.0,1.0
AMTN,0.0,0.0,0.0
AMY1A,0.0,0.0,0.0
AMY1B,0.0,0.0,0.0
AMY1C,0.0,0.0,0.0
AMY2A,0.0,0.0,0.0
AMY2B,3.0,1.0,5.0
AMZ1,1.0,1.0,0.0
AMZ2,30.0,29.0,11.0
AMZ2P1,7.0,15.0,6.0
ANAPC1,38.0,31.0,10.0
ANAPC10,21.0,6.0,0.0
ANAPC11,364.0,242.0,98.0
ANAPC13,68.0,67.0,18.0
ANAPC15,30.0,28.0,22.0
ANAPC16,116.0,93.0,50.0
ANAPC1P1,0.0,0.0,0.0
ANAPC2,23.0,17.0,13.0
ANAPC4,11.0,9.0,8.0
ANAPC5,106.0,68.0,20.0
ANAPC7,33.0,42.0,15.0
ANG,10.0,5.0,6.0
ANGEL1,19.0,26.0,16.0
ANGEL2,22.0,13.0,5.0
ANGPT1,24.0,0.0,0.0
ANGPT2,20.0,667.0,0.0
ANGPT4,0.0,0.0,0.0
ANGPTL1,8.0,1.0,0.0
ANGPTL2,179.0,437.0,0.0
ANGPTL3,0.0,0.0,0.0
ANGPTL4,801.0,242.0,18.0
ANGPTL5,0.0,0.0,0.0
ANGPTL6,1.0,1.0,3.0
ANGPTL7,0.0,0.0,0.0
ANHX,0.0,0.0,0.0
ANK1,6.0,3.0,1.0
ANK2,0.0,1.0,0.0
ANK3,3.0,0.0,0.0
ANKAR,1.0,2.0,0.0
ANKDD1A,5.0,2.0,2.0
ANKDD1B,0.0,0.0,0.0
ANKEF1,0.0,0.0,2.0
ANKFN1,0.0,0.0,0.0
ANKFY1,2.0,8.0,1.0
ANKH,80.0,65.0,24.0
ANKHD1,39.0,44.0,20.0
ANKHD1.EIF4EBP3,0.0,1.0,1.0
ANKIB1,53.0,33.0,13.0
ANKK1,0.0,0.0,1.0
ANKLE1,0.0,0.0,0.0
ANKLE2,57.0,41.0,15.0
ANKMY1,0.0,3.0,1.0
ANKMY2,18.0,5.0,13.0
ANKRA2,26.0,20.0,6.0
ANKRD1,0.0,0.0,0.0
ANKRD10,123.0,72.0,16.0
ANKRD10.IT1,1.0,0.0,3.0
ANKRD11,251.0,469.0,43.0
ANKRD12,62.0,70.0,29.0
ANKRD13A,20.0,24.0,13.0
ANKRD13B,5.0,6.0,0.0
ANKRD13C,16.0,21.0,5.0
ANKRD13D,14.0,13.0,16.0
ANKRD16,10.0,7.0,1.0
ANKRD17,44.0,29.0,16.0
ANKRD18A,1.0,0.0,0.0
ANKRD18DP,0.0,0.0,0.0
ANKRD19P,1.0,1.0,0.0
ANKRD2,2.0,0.0,0.0
ANKRD20A1,0.0,0.0,0.0
ANKRD20A11P,0.0,0.0,0.0
ANKRD20A19P,0.0,0.0,0.0
ANKRD20A2,0.0,0.0,0.0
ANKRD20A3,0.0,0.0,0.0
ANKRD20A4,1.0,0.0,0.0
ANKRD20A5P,0.0,0.0,0.0
ANKRD20A8P,0.0,0.0,0.0
ANKRD22,0.0,0.0,0.0
ANKRD23,3.0,4.0,0.0
ANKRD24,1.0,0.0,0.0
ANKRD26,10.0,3.0,2.0
ANKRD26P1,0.0,0.0,0.0
ANKRD27,14.0,15.0,9.0
ANKRD28,40.0,39.0,3.0
ANKRD29,4.0,5.0,1.0
ANKRD30A,0.0,0.0,0.0
ANKRD30B,0.0,0.0,0.0
ANKRD30BL,2.0,0.0,1.0
ANKRD30BP2,0.0,0.0,0.0
ANKRD33,0.0,0.0,0.0
ANKRD34A,9.0,3.0,2.0
ANKRD34B,0.0,0.0,0.0
ANKRD34C,0.0,0.0,0.0
ANKRD35,5.0,1.0,0.0
ANKRD36,7.0,10.0,12.0
ANKRD36B,1.0,0.0,1.0
ANKRD36BP2,0.0,1.0,0.0
ANKRD36C,0.0,0.0,0.0
ANKRD37,60.0,37.0,9.0
ANKRD39,35.0,19.0,14.0
ANKRD40,81.0,110.0,10.0
ANKRD42,30.0,17.0,7.0
ANKRD44,0.0,1.0,2.0
ANKRD44.IT1,0.0,0.0,0.0
ANKRD45,0.0,0.0,0.0
ANKRD46,20.0,32.0,5.0
ANKRD49,7.0,7.0,8.0
ANKRD50,28.0,33.0,5.0
