,UCSC_RefGene_Name
cg00250430,DMRT2
cg00256074,MYLPF
cg00256166,KLHL25
cg00256281,PMM1
cg00259755,PWWP2B
cg00261552,CREBL2
cg00261781,MATN3
cg00262415,PUSL1
cg00262415,ACAP3
cg00265415,B3GALNT2
cg00265490,MTDH
cg00268009,ADH5
cg00268338,HECTD2
cg00269115,ZNF436
cg00273068,EMILIN3
cg00273124,NHP2
cg00274399,FGF9
cg00275232,ZNF296
cg00276797,SLK
cg00278366,RAD9B
cg00278366,VPS29
cg00279797,AMMECR1
cg00282347,CHD5
cg00282683,UBE3C
cg00283535,ANXA13
cg00288562,TRA2A
cg00290028,RFXAP
cg00290506,CNIH3
cg00291877,SNRPA1
cg00292662,LGALS1
cg00292971,FAM131B
cg00294382,IL23A
cg00295206,RAB7A
cg00301864,RAB35
cg00302793,PPP3CA
cg00307685,BRDT
cg00308133,GAMT
cg00309056,STARD3NL
cg00311768,TSTA3
cg00314943,ALPPL2
cg00315936,SND1
cg00317680,PTDSS1
cg00318865,ACVR1B
cg00319692,ATP6V0D2
cg00320243,RAB3A
cg00321065,RLF
cg00321478,CRB1
cg00324733,NUCB2
cg00327185,DLAT
cg00327483,CASQ1
cg00331237,CSRP2
cg00331433,SYAP1
cg00332153,BANK1
cg00332745,NOL3
cg00334507,PRRT2
cg00336605,NR1H2
cg00338702,CHFR
cg00340102,ERGIC3
cg00342530,GARNL3
cg00343092,TSPO
cg00344358,GDF11
cg00344372,HGFAC
cg00346145,RPL34
cg00347729,MMP10
cg00347904,SCUBE3
cg00350296,CD248
cg00350478,FRMD1
cg00353953,ZNF384
cg00354572,ACSS3
cg00355802,DUSP4
cg00359325,USP4
cg00359973,RIBC1
cg00359973,SMC1A
cg00363813,IFFO1
cg00364814,R3HDM2
cg00367438,TMUB1
cg00368022,C5orf22
cg00368415,SNX27
cg00371195,F2
cg00374717,ARSG
cg00375964,ABCE1
cg00375964,ANAPC10
cg00376639,ZNF581
cg00380464,LTV1
cg00381076,C18orf54
cg00382515,MRPL44
cg00386408,TGFBI
cg00387170,FOXP4
cg00392257,ISG20L2
cg00393585,TRIM61
cg00394658,PTPRJ
cg00397545,APOC1
cg00397740,PPOX
cg00398048,AGA
cg00400263,PPP1R3D
cg00404599,TSC22D3
cg00405070,ERP29
cg00405070,TMEM116
cg00405568,NMT1
cg00405568,DCAKD
cg00407150,HHATL
cg00410419,COMMD6
cg00410576,MAPK6
cg00410895,ERMAP
cg00410898,STC1
cg00411097,TMEM184A
cg00412772,YIF1B
cg00413066,BCL2L10
cg00415978,SYNPO2
cg00415993,F2RL2
cg00415993,IQGAP2
cg00417297,ZNF619
cg00418150,ALX4
cg00419564,S100A6
cg00420568,SHC3
cg00420929,PGPEP1
cg00422913,WDR81
cg00424946,SNTB2
cg00425710,MT1A
cg00425792,PEX12
cg00426056,CUTA
cg00426498,MYO18A
cg00426963,KIF27
cg00430287,FRK
cg00430945,LIN7B
cg00431050,ELOVL3
cg00431114,TTPAL
cg00431549,MGP
cg00432979,SKA3
cg00434413,RENBP
cg00434413,NAA10
cg00435408,FAM192A
cg00435408,RSPRY1
cg00436301,NT5DC1
cg00436603,CYP2E1
cg00441382,STOML1
cg00446235,TSTD1
cg00447208,TMC8
cg00447208,TMC6
cg00448720,C1QTNF9
cg00449941,SPAG5
cg00451635,EMP2
cg00453193,TES
cg00453258,CALHM1
cg00459975,INTS9
cg00459975,HMBOX1
cg00461841,ATF7IP2
cg00462311,NFATC4
cg00462994,NAGS
cg00462994,PYY
cg00463202,ADPRHL1
cg00464269,TNFAIP1
cg00464269,IFT20
cg00465284,CTNNA2
cg00466249,SLC38A10
cg00466492,TIMM44
cg00466492,CTXN1
cg00468146,ID4
cg00469635,PPME1
cg00469635,C2CD3
cg00471562,WDR37
cg00472136,TAC3
cg00472814,ADAMTS1
cg00474209,DLL1
cg00475955,C9orf114
cg00476580,ANP32E
cg00480115,FXYD3
cg00480209,SCO1
cg00481227,CTNNBL1
cg00483154,DDX41
cg00485296,NME3
cg00487159,SOCS1
cg00488718,MFSD8
cg00488718,C4orf29
cg00489401,FLT4
cg00491404,EPS8L3
cg00491839,PPP1R15A
cg00493400,STAT1
cg00495415,SP1
cg00495442,RALGAPB
cg00496170,EIF2S1
cg00496170,ATP6V1D
cg00497084,PPEF1
cg00497251,RNPEPL1
cg00498305,SLC18A2
cg00498604,TLL1
cg00499599,MCM3AP
cg00499822,CXCL12
cg00500400,EP300
cg00501366,ALOX12B
cg00502442,ZDHHC14
cg00504595,TNFRSF19
cg00509670,PAX9
cg00510787,RMND1
cg00510956,KHDRBS1
cg00511475,CDH15
cg00512374,IGFBP4
cg00513467,KLHL9
cg00514407,SERPINE2
cg00516481,PDE9A
cg00518989,LIMK2
cg00519208,EVI5
cg00519627,CORO7
cg00520135,TPM1
cg00520708,C5orf24
cg00522034,CBLB
cg00522316,KHSRP
cg00524288,UPP1
cg00528052,KDM5B
cg00528967,STK24
cg00532890,PBX1
cg00534274,SLC7A11
cg00537910,ATG9A
cg00537910,ABCB6
cg00539716,FOXN2
cg00540544,CSRP1
cg00545573,TAOK3
cg00546491,PDE1C
cg00547018,ALG1
cg00547789,RAB39B
cg00548060,NPL
cg00548268,NPTX2
cg00554250,NR1H3
cg00554702,CHEK1
cg00560119,STXBP1
cg00563229,XKR8
cg00563845,PXK
cg00563926,TGFBR3
cg00563932,PTGDS
cg00564163,STEAP4
cg00565075,EIF3L
cg00565688,TP73
cg00566759,DSC2
cg00567479,FARP2
cg00568792,STT3A
cg00569620,ABHD10
cg00571634,WDR5B
cg00573606,COL6A3
cg00575744,HLA-DMB
cg00577167,ALDOB
cg00577464,SHH
cg00579402,FUT6
cg00582628,RGS20
cg00584022,KRAS
cg00585790,LIMS1
cg00585846,NFKBIL1
cg00585846,ATP6V1G2
cg00586909,CDKAL1
cg00594952,RIMS3
cg00596686,STS
cg00597076,MYO1C
cg00598858,PRKCSH
cg00598858,CCDC151
cg00600684,WDR11
cg00602891,C17orf62
cg00605270,SMPDL3B
cg00609097,TESK2
cg00612467,HADH
cg00615241,PRTN3
cg00615915,SERPINB8
cg00616129,STYK1
cg00616135,LACTB
cg00616369,NCL
cg00617305,SHISA4
cg00618396,VBP1
cg00619207,DENND2D
cg00620024,PPP6C
cg00620629,ZUFSP
cg00620857,ACOT4
cg00622552,ODF3L1
cg00622677,TSPAN5
cg00623593,DOCK1
cg00625425,KANK4
cg00625653,WNT7A
cg00626119,SH2D2A
cg00626119,NTRK1
cg00626466,GNS
cg00629217,LNX1
cg00629585,GFI1B
cg00630164,KCNQ4
cg00630249,CYB561D1
cg00630583,PXMP2
cg00630583,POLE
cg00631230,VPS33A
cg00633969,PARP9
cg00633969,DTX3L
cg00635481,ZNF76
cg00636639,RBM18
cg00636639,MRRF
cg00642303,ACAP2
cg00643392,RTBDN
cg00645579,IRF7
cg00645922,TMED7
cg00646140,ARSD
cg00646492,GSTO1
cg00648153,SLC17A5
cg00650762,EPHB2
cg00650876,YBX1
cg00651216,HSP90AB1
cg00653387,PTN
cg00654814,MGAT5B
cg00654816,LYAR
cg00655307,ESR1
cg00657095,PPARD
cg00657582,CHD8
cg00659953,FAM173A
cg00660989,KLHL28
cg00660989,FAM179B
cg00661202,TMEM43
cg00661202,CHCHD4
cg00661485,FOXI1
cg00665395,TTLL4
cg00666746,SYDE1
cg00668685,SLC39A5
cg00669856,SPRY1
cg00671161,ALG11
cg00671161,ATP7B
cg00672638,ARHGAP26
cg00673020,MOSPD1
cg00673191,DOPEY2
cg00676660,ADAMTS9
cg00677811,CCM2
cg00678539,MNS1
cg00679556,TRIM31
cg00679738,FAM89A
cg00682653,VTI1B
cg00685836,PPFIA2
cg00686623,CAPN1
cg00687686,NDRG4
cg00688421,RAP1GDS1
cg00689010,COPA
cg00689010,NCSTN
cg00689014,GAST
cg00689340,RTKN
cg00690049,MAGED2
cg00690280,WFDC10B
cg00692549,TARDBP
cg00695416,CBR1
cg00698688,SULT2B1
cg00702231,PLAGL1
cg00704310,KCTD15
cg00704909,COPB1
cg00706536,ATP6V0A1
cg00707317,NMNAT2
cg00708642,EIF5
cg00711916,CNNM4
cg00712898,PRPF38B
cg00714377,SLA2
cg00717862,TBCCD1
cg00717862,DNAJB11
cg00718748,ZNF624
cg00720072,MARCH5
cg00720072,CPEB3
cg00720137,DYNLRB2
cg00720723,NOP58
cg00724662,NXF1
cg00725635,B3GALT2
cg00725635,CDC73
cg00725777,NGFRAP1
cg00727590,PLA2G3
cg00728317,MT1F
cg00728398,MEAF6
cg00729541,FAM73B
cg00729875,PALMD
cg00733682,ZNF44
cg00734993,MTCH1
cg00737514,TBC1D1
cg00739120,TMEM147
cg00744433,CXADR
cg00745735,MYPN
cg00746981,HDGF
cg00747849,SLC25A1
cg00751288,LYRM7
cg00754253,HRASLS5
cg00754617,FAM83E
cg00755043,NXNL2
cg00755709,BAAT
cg00756058,DZIP1
cg00756887,PVRL4
cg00757070,UPK2
cg00761755,SLC43A2
cg00763679,SEPT2
cg00763679,HDLBP
cg00763889,HRASLS2
cg00766729,ZNF784
cg00766889,SEPHS1
cg00767581,HOXD4
cg00768439,FAM133A
cg00768439,NAP1L3
cg00769520,ST8SIA1
cg00770279,CDKN2D
cg00770871,TULP3
cg00772000,NHLRC1
cg00777555,ARF4
cg00778920,PRPF19
cg00782174,SLC1A5
cg00782854,BCL2L1
cg00783759,LARP1B
cg00784357,RAC1
cg00791249,FDX1L
cg00792740,UBE3A
cg00793648,DDX24
cg00793648,IFI27L1
cg00793774,TRIM8
cg00795268,COMMD9
cg00795812,PDCD1
cg00796728,FUT4
cg00798206,OXSR1
cg00800095,PNMA3
cg00804048,EIF5A
cg00804392,RHOH
cg00806490,CDH13
cg00807586,DLEC1
cg00808492,REG4
cg00810473,SNX22
cg00810495,RPF1
cg00812502,DGCR2
cg00814580,TRAPPC6A
cg00814580,BLOC1S3
cg00815440,UQCRFS1
cg00815583,FBXO16
cg00818872,CHRNB2
cg00819310,VANGL1
cg00819362,CLIP3
cg00819696,TIMELESS
cg00822607,ZNF688
cg00824109,CHD4
cg00825031,VPS37A
cg00825031,CNOT7
cg00827369,EIF4H
cg00828602,WNT5A
cg00830029,NRIP2
cg00830393,LRIG1
cg00833393,TLN1
cg00833393,CREB3
cg00833777,ITGAM
cg00834796,JAKMIP2
cg00834958,TSC22D4
cg00836605,JAZF1
cg00837103,COL9A3
cg00838150,MITF
cg00839584,IL1A
cg00839802,MAN1A1
cg00840403,CHST4
cg00841581,STAG1
cg00842351,TJP2
cg00845900,CPA4
cg00846036,DLG2
cg00848461,RAB24
cg00848728,DAB1
cg00850538,CRIM1
cg00852964,VNN1
cg00853068,FMNL1
cg00854637,TSNAXIP1
cg00854637,RANBP10
cg00854995,SKP1
cg00856375,PSMD14
cg00858899,CCND1
cg00859193,POMP
cg00859655,CYB5R2
cg00861635,ZNF200
cg00862290,KCNMB3
cg00862770,FKBP5
cg00864867,PAWR
cg00870662,PARD6G
cg00873037,NEIL2
cg00873937,ATOH7
cg00874863,LHFPL1
cg00875272,TAL1
cg00876704,PKN1
cg00877887,DUOX2
cg00877964,SLC1A4
cg00881086,NPHP3
cg00881370,DOCK6
cg00884221,IGFBP7
cg00884529,BZW2
cg00884529,ANKMY2
cg00885506,WDR31
cg00886554,NMU
cg00887101,INTS5
cg00887700,EIF2B1
cg00887700,GTF2H3
cg00888007,CCND2
cg00888479,SLC24A3
cg00888561,WDFY2
cg00890257,DEGS2
cg00892798,NGFR
cg00893636,EPM2AIP1
cg00893636,MLH1
cg00893987,RPL7L1
cg00895324,PCP4
cg00899086,SEPT11
cg00899641,SF3B1
cg00899659,C10orf25
cg00899659,ZNF22
cg00901493,YBX2
cg00901652,CTR9
cg00901683,CPSF4
cg00901704,SLC25A19
cg00901766,MLLT1
cg00903242,CHL1
cg00903375,SBDS
cg00903375,TYW1
cg00904483,MGMT
cg00904574,PLK3
cg00905170,RRS1
cg00906183,HGS
cg00906183,ARL16
cg00910168,DHX37
cg00911351,PCDHGA4
cg00911351,PCDHGA5
cg00911351,PCDHGA3
cg00911351,PCDHGA7
cg00911351,PCDHGB3
cg00912942,C1orf127
cg00915206,GAD1
cg00915289,SHC1
cg00915289,CKS1B
cg00916199,TMCO6
cg00916635,PTPN22
cg00917893,PDHB
cg00918794,PPIB
cg00919857,TMOD2
cg00919857,LYSMD2
cg00920960,XIAP
cg00922727,SESN1
cg00925229,BAD
cg00925229,GPR137
cg00925717,SCNN1B
cg00929606,ZNF3
cg00929855,HSPA1A
cg00929855,HSPA1L
cg00930078,FBXO28
cg00930873,ALDH1A2
cg00931491,SULT1A2
cg00932276,EGFL6
cg00933411,DLC1
cg00935430,ZNF678
cg00936626,PIGZ
cg00939965,PRRG1
cg00940891,FGFRL1
cg00941229,OTUD7B
cg00943245,PCDHGC3
cg00943245,PCDHGA12
cg00943245,PCDHGA9
cg00943245,PCDHGB6
cg00943245,PCDHGB7
cg00943245,PCDHGA8
cg00943245,PCDHGA10
cg00943909,GNAS
cg00943950,UBE2B
cg00945507,SEC61G
cg00945862,SLC4A5
cg00947019,H2AFV
cg00947275,LAS1L
cg00949554,UBE2E3
cg00950418,SRPK2
cg00950621,STARD5
cg00951770,RABGGTA
cg00954003,TMSB10
cg00954566,SCD
cg00955230,RFC2
cg00955451,APBA2
cg00958517,ST3GAL2
cg00960702,CCDC9
cg00962635,SYTL4
cg00964109,UBL7
cg00968475,BHLHB9
cg00969446,ADAP1
cg00971396,POLR2H
cg00973286,TNFRSF1A
cg00974864,FCGR3B
cg00976054,ATP5H
cg00976054,KCTD2
cg00979348,HPSE
cg00980978,WFDC2
cg00981643,MECP2
cg00983520,CPT1B
cg00984602,SRF
cg00986320,CYFIP2
cg00987015,CHRM1
cg00987379,ZNF395
cg00995152,DAB2IP
cg00995327,CHST2
cg00997424,PI4K2A
cg01007201,CLEC4A
cg01013324,EFNB3
cg01015879,RDX
cg01017147,DNM3
cg01021485,CSNK1G1
cg01025762,DLD
cg01025842,TRADD
cg01025842,FBXL8
cg01026744,NAP1L5
cg01026744,HERC3
cg01027739,DOLPP1
cg01027805,ZNF219
cg01029592,SOX15
cg01031251,RPS6KA1
cg01031400,TNFRSF10D
cg01033160,CEBPG
cg01035238,TNFAIP6
cg01035422,PLIN1
cg01036148,RNPEP
cg01036779,SH2D3A
cg01037108,HSPA9
cg01040062,ZZEF1
cg01040062,CYB5D2
cg01040759,ST3GAL5
cg01040850,MR1
cg01041367,TMEM70
cg01043831,PTTG2
cg01044722,MYH10
cg01045423,RPAP2
cg01045423,GLMN
cg01046174,PIKFYVE
cg01047414,PHYH
cg01048931,VOPP1
cg01049530,BMP3
cg01050433,TYRO3
cg01055695,PAEP
cg01056155,BTF3
cg01056568,GLP2R
cg01057962,BCL6
cg01063524,NME1
cg01063813,STAT6
cg01064307,CD55
cg01064957,SNX2
cg01065920,NDUFA12
cg01076838,TMEM86B
cg01078276,PLAU
cg01078276,C10orf55
cg01078871,FBXO33
cg01079126,MTMR1
cg01080862,IL13RA1
cg01081263,SCUBE2
cg01086868,AR
cg01086895,DCHS1
cg01086978,ARFGEF1
cg01087382,MAP3K7
cg01087710,C16orf70
cg01090445,TRAIP
cg01091565,MESP1
cg01092561,PPP1R3B
cg01095590,KIAA0040
cg01097940,SPSB2
cg01100784,MAPK8IP3
cg01100796,CPT2
cg01104423,EIF2AK1
cg01107031,TGFB1
cg01107741,CANT1
cg01108476,TCP11
cg01109219,RASGRP3
cg01110846,KCTD13
cg01112452,ZCCHC12
cg01112778,PPP2R2B
cg01116966,TCF7
cg01117627,CYP46A1
cg01119135,C1orf116
cg01120165,HDAC10
cg01120307,SEMA4D
cg01120308,PICALM
cg01120898,IL1RAP
cg01124420,EDAR
cg01125463,PEX6
cg01126560,C9orf142
cg01127428,SYCP3
cg01128603,SF3B2
cg01131735,FKBP10
cg01134491,CLCN6
cg01134491,MTHFR
cg01135200,STXBP5
cg01137065,FOXK2
cg01137198,PPTC7
cg01137532,ZNF365
cg01137708,NFKB1
cg01137737,GDE1
cg01138020,SPNS3
cg01139966,GOLPH3L
cg01140782,FAM58A
cg01141769,USP25
cg01145389,CDKN2C
cg01146980,DNAJC21
cg01150454,MRPS5
cg01151686,LIG3
cg01152499,FAM46C
cg01154193,IQCC
cg01154193,CCDC28B
cg01154775,PACRGL
cg01155039,AMN
cg01160766,RPL38
cg01161216,TCF25
cg01166674,ABCB8
cg01168201,HIC1
cg01169610,INPP4A
cg01169624,SGCE
cg01169624,PEG10
cg01169778,GBGT1
cg01171588,USP38
cg01171858,SLC5A2
cg01172484,MAGEH1
cg01172656,NRBF2
cg01172735,SESN2
cg01172899,SLC16A14
cg01173291,ZSCAN2
cg01176271,SNX1
cg01177524,NEDD9
cg01177956,SLC4A2
cg01177956,CDK5
cg01182697,TMEM59
cg01183669,ST7L
cg01183669,CAPZA1
cg01184449,EML4
cg01184522,ZNF496
cg01185080,ZNF710
cg01185754,F3
cg01186777,TNFSF9
cg01195014,MAGED1
cg01195127,YIPF4
cg01200177,POLR2D
cg01204439,TPK1
cg01206472,TOMM22
cg01206970,PPFIA3
cg01211097,USP10
cg01214321,DPYSL2
cg01214847,TMPRSS3
cg01220033,WDR34
cg01221484,ZNF584
cg01222684,TTC1
cg01226811,KCNJ8
cg01228636,PTEN
cg01230160,DGKD
cg01231779,NID2
cg01234063,ST3GAL4
cg01234133,COL1A1
cg01236137,SUB1
cg01241375,INVS
cg01241375,ERP44
cg01241836,TFE3
cg01243790,TMEM182
cg01245595,LSS
cg01245656,ASNS
cg01246254,PLEKHA1
cg01246405,STIM1
cg01249910,SHBG
cg01249910,SAT2
cg01251255,NSUN5
cg01252496,USE1
cg01253107,STOML2
cg01254459,PSMC6
cg01254505,BST2
cg01255349,PPFIBP1
cg01257202,DKC1
cg01259619,ITPKB
cg01261503,POLG2
cg01261535,UBN1
cg01261535,GLYR1
cg01262913,DSCR9
cg01263716,PHLDA2
cg01264826,CTDSP1
cg01267315,RNF220
cg01269795,BTN3A3
cg01272601,AAK1
cg01273150,CORO1C
cg01274324,TCP10L
cg01274660,TRIP6
cg01277844,PYGO2
cg01278291,DOK3
cg01280080,ATIC
cg01281797,LYSMD1
cg01281797,SCNM1
cg01282074,NKX2-5
cg01284306,C21orf91
cg01284619,HCN2
cg01288067,MELK
cg01288089,CXCL10
cg01288089,ART3
cg01288598,CD83
cg01291404,COL2A1
cg01292265,NOP56
cg01293143,TCEA2
cg01293647,NEUROD2
cg01294702,FOXJ1
cg01302245,TP53AIP1
cg01305421,IGF1
cg01305547,WHSC1
cg01305625,PDLIM4
cg01306510,CDKN1A
cg01308501,IL12A
cg01309153,SURF1
cg01309153,SURF2
cg01309671,FAM122C
cg01311285,SPATA4
cg01313514,WNT3A
cg01313966,SKA1
cg01316516,LDHA
cg01316819,PPP1R1A
cg01318557,LAT2
cg01320361,SEC63
cg01320507,RAB4A
cg01322079,SFT2D1
cg01322897,LETMD1
cg01324261,SCRG1
cg01331554,G3BP2
cg01333011,PTHLH
cg01333131,CDC42BPB
cg01333619,NCAPD3
cg01333619,VPS26B
cg01333788,GJB5
cg01334437,LYPLA1
cg01340005,SOX2
cg01342792,FAM71A
cg01344171,RSPH9
cg01344452,DGKE
cg01344518,RGS11
cg01346152,DHRS3
cg01346589,RCC2
cg01347719,AUP1
cg01347719,DQX1
cg01348086,RGS14
cg01350700,DCXR
cg01351032,CIITA
cg01352108,KCNK4
cg01353347,IRAK1
cg01355520,HADHA
cg01355520,HADHB
cg01356829,IL12RB2
cg01357263,BCL7A
cg01359534,AQP10
cg01360325,TAF5
cg01360768,TSG101
cg01361446,IL2RG
cg01366407,FLAD1
cg01367992,LY9
cg01371258,ZNF184
cg01374047,HCFC1R1
cg01374047,THOC6
cg01375994,MXRA5
cg01376672,ANAPC5
cg01377911,NTF4
cg01385430,VPS45
cg01389761,TERC
cg01390445,LIPH
cg01395672,ZNF207
cg01399317,FAM83H
cg01401337,PHF2
cg01401376,EYA4
cg01402255,GATAD2B
cg01403114,CENPK
cg01403114,PPWD1
cg01404197,ZW10
cg01404615,DKK2
cg01405107,HOXB5
cg01405761,CLVS1
cg01407244,TNFRSF10C
cg01407797,CCDC117
cg01408383,PIGA
cg01408558,PDE4A
cg01409734,TRAFD1
cg01410472,CRISPLD1
cg01411954,NVL
cg01412445,HIGD2B
cg01412445,BBS4
cg01414934,SH3BGRL3
cg01418124,ARHGAP24
cg01419479,GLUL
cg01419675,RHOB
cg01419679,PTTG1IP
cg01419788,ITPK1
cg01420388,FBXO44
cg01420388,FBXO2
cg01424107,CDX2
cg01425405,DLX3
cg01425670,NEGR1
cg01426743,FAM20B
cg01427567,TMC4
cg01428361,RSAD1
cg01428678,GPHN
cg01429181,DCAF8
cg01429321,LOX
cg01429996,NANS
cg01430430,SRRM3
cg01437411,ATN1
cg01438829,TMEM97
cg01439669,ENC1
cg01439983,PEX13
cg01439983,PUS10
cg01442481,RALY
cg01442799,YAP1
cg01442833,UNG
cg01443067,USP8
cg01443630,CLCN7
cg01446393,FAM107A
cg01446983,SPOP
cg01449415,ZNF213
cg01450842,STON1-GTF2A1L
cg01457080,ANGEL1
cg01459453,SELP
cg01461641,TMEM63A
cg01462829,HS3ST1
cg01462904,CCDC12
cg01464985,ZNF512
cg01465325,ERCC6
cg01465641,ITSN1
cg01466020,DAP3
cg01466020,YY1AP1
cg01466075,SERP1
cg01466075,EIF2A
cg01468621,BRSK2
cg01468868,LIF
cg01470283,SCAND1
cg01471713,C1orf115
cg01473816,ELF5
cg01478450,SLC29A3
cg01481441,MLEC
cg01482279,ORMDL3
cg01483882,TP53INP2
cg01489608,SLC12A4
cg01489608,LCAT
cg01491225,ZCCHC9
cg01491540,EFCAB5
cg01491540,SSH2
cg01492649,TMEM135
cg01493303,GRWD1
cg01494593,ACOXL
cg01495509,KCNIP1
cg01495509,KCNMB1
cg01497501,ZFAND2A
cg01497527,ANKDD1A
cg01498098,SACS
cg01500097,FIG4
cg01500421,HARS2
cg01500421,HARS
cg01500567,CDC5L
cg01505176,VARS
cg01508386,GORAB
cg01511567,SSRP1
cg01512854,PCDHB3
cg01513611,VMAC
cg01513611,NDUFA11
cg01514487,MYO1A
cg01515426,ANAPC11
cg01517033,WFDC3
cg01517033,DNTTIP1
cg01520924,HSPA2
cg01522721,CDC37
cg01525376,LCK
cg01526089,P2RX1
cg01531431,PPDPF
cg01532080,SSBP4
cg01532103,BSG
cg01533387,IFI30
cg01535453,ACADS
cg01536400,NDUFA8
cg01536980,EEF1A1
cg01538982,CCDC51
cg01539186,GZF1
cg01541629,NSUN2
cg01541629,SRD5A1
cg01545242,ASF1B
cg01546046,AP4S1
