,immune,classic,endo,basal
ACER1,0.0,0.0,0.0,0.0
ACER2,9.0,75.0,15.0,2.0
ACER3,1203.0,506.0,19.0,37.0
ACHE,6.0,143.0,0.0,1.0
ACIN1,4617.0,3095.0,184.0,278.0
ACKR2,7.0,19.0,9.0,0.0
ACKR3,28.0,19.0,4.0,7.0
ACKR4,2.0,14.0,0.0,0.0
ACLY,1789.0,2108.0,120.0,137.0
ACMSD,2.0,17.0,1.0,0.0
ACN9,122.0,126.0,4.0,17.0
ACO1,362.0,615.0,16.0,51.0
ACO2,1601.0,1407.0,58.0,205.0
ACOT1,10.0,10.0,0.0,1.0
ACOT11,122.0,248.0,4.0,16.0
ACOT12,1.0,2.0,1.0,0.0
ACOT13,622.0,529.0,27.0,56.0
ACOT2,84.0,59.0,3.0,6.0
ACOT4,110.0,120.0,0.0,9.0
ACOT7,404.0,917.0,23.0,103.0
ACOT8,517.0,746.0,26.0,86.0
ACOT9,857.0,678.0,44.0,64.0
ACOX1,1000.0,1841.0,37.0,119.0
ACOX2,15.0,20.0,2.0,15.0
ACOX3,242.0,204.0,14.0,24.0
ACOXL,6.0,7.0,1.0,1.0
ACP1,995.0,1517.0,38.0,134.0
ACP2,1053.0,545.0,27.0,38.0
ACP5,2200.0,154.0,54.0,11.0
ACP6,72.0,382.0,1.0,40.0
ACPL2,80.0,137.0,1.0,18.0
ACPP,262.0,79.0,5.0,3.0
ACRBP,137.0,24.0,1.0,2.0
ACRC,78.0,31.0,4.0,2.0
ACRV1,0.0,0.0,0.0,0.0
ACSBG1,52.0,51.0,2.0,3.0
ACSBG2,0.0,0.0,0.0,0.0
ACSF2,307.0,255.0,21.0,26.0
ACSF3,739.0,566.0,22.0,53.0
ACSL1,1966.0,693.0,17.0,71.0
ACSL3,1373.0,1798.0,68.0,310.0
ACSL4,2361.0,1314.0,79.0,138.0
ACSL5,965.0,2124.0,49.0,86.0
ACSL6,301.0,135.0,4.0,1.0
ACSM1,10.0,27.0,0.0,2.0
ACSM2A,3.0,3.0,2.0,0.0
ACSM2B,6.0,2.0,2.0,0.0
ACSM3,49.0,269.0,22.0,0.0
ACSM4,2.0,0.0,0.0,0.0
ACSM5,61.0,2.0,0.0,0.0
ACSS1,551.0,304.0,24.0,13.0
ACSS2,306.0,510.0,19.0,23.0
ACSS3,11.0,13.0,3.0,1.0
ACTA1,14.0,14.0,0.0,0.0
ACTA2,162.0,78.0,5.0,18.0
ACTA2-AS1,9.0,9.0,0.0,0.0
ACTB,30526.0,13482.0,527.0,1566.0
ACTBL2,7.0,47.0,0.0,5.0
ACTC1,6.0,3.0,5.0,0.0
ACTG1,33785.0,29169.0,1084.0,3158.0
ACTG2,28.0,19.0,0.0,2.0
ACTL10,40.0,61.0,1.0,7.0
ACTL6A,603.0,978.0,18.0,134.0
ACTL6B,3.0,69.0,2.0,0.0
ACTN1,2503.0,4334.0,226.0,407.0
ACTN1-AS1,0.0,0.0,0.0,0.0
ACTN2,10.0,7.0,1.0,1.0
ACTN4,3204.0,7445.0,188.0,758.0
ACTR10,648.0,753.0,42.0,51.0
ACTR1A,1760.0,1349.0,94.0,127.0
ACTR1B,1122.0,1013.0,52.0,71.0
ACTR2,12617.0,5189.0,267.0,466.0
ACTR3,8968.0,4022.0,161.0,392.0
ACTR3B,38.0,74.0,1.0,6.0
ACTR3C,21.0,76.0,0.0,2.0
ACTR5,218.0,171.0,14.0,14.0
ACTR6,468.0,428.0,14.0,34.0
ACTR8,519.0,338.0,20.0,32.0
ACTRT3,7.0,32.0,2.0,2.0
ACVR1,490.0,675.0,14.0,55.0
ACVR1B,354.0,532.0,13.0,40.0
ACVR1C,69.0,91.0,1.0,2.0
ACVR2A,295.0,374.0,15.0,34.0
ACVR2B,142.0,275.0,11.0,19.0
ACVR2B-AS1,3.0,3.0,0.0,0.0
ACVRL1,416.0,53.0,184.0,4.0
ACY1,23.0,55.0,1.0,5.0
ACY3,28.0,99.0,0.0,1.0
ACYP1,152.0,198.0,4.0,9.0
ACYP2,160.0,145.0,8.0,8.0
AD000090.2,82.0,95.0,5.0,13.0
AD000684.2,5.0,7.0,0.0,1.0
ADA,907.0,131.0,23.0,48.0
ADAD2,0.0,0.0,0.0,0.0
ADAL,188.0,141.0,8.0,8.0
ADAM10,3551.0,4049.0,129.0,377.0
ADAM11,2.0,2.0,0.0,0.0
ADAM12,207.0,21.0,12.0,0.0
ADAM15,453.0,905.0,106.0,70.0
ADAM17,1562.0,1168.0,82.0,136.0
ADAM19,850.0,1018.0,15.0,152.0
ADAM20,1.0,0.0,0.0,0.0
ADAM20P1,10.0,4.0,0.0,0.0
ADAM22,35.0,171.0,9.0,4.0
ADAM23,57.0,11.0,0.0,8.0
ADAM28,1129.0,1646.0,7.0,52.0
ADAM29,7.0,1.0,0.0,0.0
ADAM30,0.0,0.0,0.0,0.0
ADAM32,3.0,42.0,0.0,4.0
ADAM33,4.0,2.0,0.0,0.0
ADAM7,2.0,0.0,0.0,0.0
ADAM8,1484.0,750.0,18.0,72.0
ADAM9,1448.0,4549.0,29.0,299.0
ADAMDEC1,583.0,24.0,0.0,0.0
ADAMTS1,89.0,114.0,509.0,20.0
ADAMTS10,111.0,10.0,15.0,0.0
ADAMTS12,5.0,344.0,5.0,41.0
ADAMTS13,18.0,39.0,2.0,3.0
ADAMTS14,12.0,18.0,3.0,2.0
ADAMTS15,5.0,32.0,0.0,0.0
ADAMTS16,1.0,14.0,0.0,1.0
ADAMTS17,74.0,23.0,0.0,2.0
ADAMTS18,6.0,40.0,0.0,0.0
ADAMTS2,111.0,80.0,1.0,1.0
ADAMTS3,4.0,21.0,5.0,2.0
ADAMTS4,28.0,16.0,49.0,0.0
ADAMTS5,28.0,6.0,90.0,0.0
ADAMTS6,22.0,45.0,16.0,1.0
ADAMTS7,6.0,13.0,13.0,2.0
ADAMTS8,10.0,3.0,0.0,1.0
ADAMTS9,9.0,150.0,96.0,45.0
ADAMTS9-AS1,0.0,0.0,0.0,0.0
ADAMTS9-AS2,5.0,6.0,2.0,1.0
ADAMTSL1,7.0,109.0,22.0,12.0
ADAMTSL2,5.0,14.0,6.0,0.0
ADAMTSL3,4.0,68.0,4.0,3.0
ADAMTSL4,576.0,51.0,5.0,3.0
ADAMTSL4-AS1,27.0,11.0,0.0,0.0
ADAMTSL5,12.0,46.0,0.0,6.0
ADAP1,390.0,844.0,11.0,57.0
ADAP2,3105.0,102.0,23.0,8.0
ADAR,7952.0,6732.0,261.0,710.0
ADARB1,631.0,119.0,68.0,20.0
ADARB2,15.0,2.0,0.0,0.0
ADAT1,559.0,438.0,17.0,34.0
ADAT2,177.0,80.0,8.0,15.0
ADAT3,13.0,23.0,2.0,1.0
ADC,65.0,37.0,1.0,3.0
ADCK1,71.0,58.0,3.0,6.0
ADCK2,545.0,263.0,7.0,19.0
ADCK3,402.0,380.0,24.0,29.0
ADCK4,118.0,168.0,9.0,3.0
ADCK5,169.0,277.0,9.0,25.0
ADCY1,15.0,100.0,14.0,4.0
ADCY10,4.0,9.0,1.0,0.0
ADCY2,17.0,40.0,1.0,3.0
ADCY3,736.0,249.0,12.0,24.0
ADCY4,75.0,112.0,110.0,2.0
ADCY5,2.0,13.0,0.0,0.0
ADCY6,41.0,563.0,10.0,14.0
ADCY7,2583.0,287.0,19.0,51.0
ADCY8,0.0,0.0,0.0,0.0
ADCY9,198.0,176.0,14.0,19.0
ADCYAP1R1,2.0,23.0,0.0,0.0
ADD1,4188.0,2952.0,233.0,231.0
ADD2,33.0,83.0,5.0,0.0
ADD3,4489.0,3368.0,409.0,255.0
ADGB,4.0,8.0,0.0,0.0
ADH1A,13.0,8.0,0.0,0.0
ADH1B,39.0,28.0,3.0,1.0
ADH4,11.0,2.0,0.0,0.0
ADH5,839.0,950.0,39.0,145.0
ADH6,4.0,23.0,0.0,0.0
ADHFE1,115.0,32.0,2.0,2.0
ADI1,998.0,1076.0,38.0,98.0
ADIPOQ,0.0,2.0,0.0,0.0
ADIPOQ-AS1,0.0,0.0,0.0,0.0
ADIPOR1,1266.0,1652.0,38.0,146.0
ADIPOR2,1502.0,1607.0,65.0,282.0
ADIRF,21.0,489.0,53.0,78.0
ADIRF-AS1,31.0,30.0,3.0,3.0
ADK,525.0,613.0,13.0,119.0
ADM,1204.0,563.0,61.0,51.0
ADM2,15.0,167.0,0.0,9.0
ADM5,13.0,22.0,8.0,3.0
ADNP,2164.0,2500.0,97.0,324.0
ADNP2,435.0,397.0,18.0,33.0
ADO,531.0,333.0,11.0,57.0
ADORA1,21.0,18.0,0.0,2.0
ADORA2A,1.0,0.0,0.0,0.0
ADORA2A-AS1,17.0,4.0,0.0,0.0
ADORA2B,68.0,161.0,4.0,108.0
ADORA3,773.0,19.0,5.0,4.0
ADPGK,2147.0,708.0,36.0,55.0
ADPGK-AS1,55.0,8.0,2.0,0.0
ADPRH,589.0,63.0,23.0,4.0
ADPRHL1,6.0,64.0,0.0,5.0
ADPRHL2,399.0,339.0,11.0,37.0
ADPRM,188.0,102.0,2.0,14.0
ADRA1A,3.0,0.0,0.0,1.0
ADRA1B,1.0,11.0,0.0,2.0
ADRA1D,3.0,10.0,0.0,0.0
ADRA2A,1.0,109.0,0.0,1.0
ADRA2B,9.0,29.0,2.0,2.0
ADRA2C,0.0,56.0,0.0,0.0
ADRB1,48.0,27.0,0.0,0.0
ADRB2,631.0,71.0,10.0,8.0
ADRB3,2.0,0.0,0.0,0.0
ADRBK1,2411.0,843.0,56.0,56.0
ADRBK2,2052.0,191.0,18.0,12.0
ADRM1,759.0,1035.0,29.0,126.0
ADSL,1080.0,652.0,46.0,93.0
ADSS,1172.0,1404.0,46.0,138.0
ADSSL1,120.0,62.0,8.0,8.0
ADTRP,62.0,41.0,0.0,7.0
AE000661.37,56.0,2.0,0.0,0.0
AE000662.92,9.0,1.0,0.0,0.0
AEBP1,199.0,77.0,57.0,1.0
AEBP2,935.0,704.0,31.0,157.0
AEN,346.0,392.0,17.0,31.0
AES,3545.0,2730.0,147.0,199.0
AF001548.5,43.0,30.0,2.0,0.0
AF001548.6,0.0,0.0,0.0,0.0
AF064858.6,2.0,0.0,0.0,0.0
AF064858.8,40.0,1.0,1.0,1.0
AF064860.7,1.0,13.0,0.0,0.0
AF121898.3,1.0,0.0,0.0,0.0
AF127577.10,0.0,0.0,0.0,0.0
AF127936.5,19.0,0.0,0.0,0.0
AF127936.7,39.0,63.0,1.0,2.0
AF129408.17,1.0,0.0,0.0,0.0
AF131215.2,79.0,24.0,4.0,3.0
AF131215.3,8.0,2.0,1.0,0.0
AF131215.4,0.0,0.0,0.0,0.0
AF131215.5,6.0,4.0,0.0,1.0
AF131215.9,39.0,12.0,3.0,2.0
AF131216.6,10.0,5.0,0.0,0.0
AF131217.1,50.0,5.0,5.0,0.0
AF146191.4,2.0,3.0,0.0,0.0
AF196970.3,0.0,0.0,0.0,0.0
AF196972.9,0.0,0.0,0.0,0.0
AF213884.2,36.0,5.0,1.0,0.0
AF230666.2,5.0,7.0,0.0,1.0
AFAP1,431.0,1330.0,60.0,187.0
AFAP1-AS1,11.0,979.0,0.0,11.0
AFAP1L1,33.0,48.0,282.0,6.0
AFAP1L2,85.0,585.0,23.0,89.0
AFF1,1585.0,1097.0,71.0,68.0
AFF2,21.0,19.0,0.0,7.0
AFF3,462.0,183.0,1.0,4.0
AFF4,3137.0,3919.0,124.0,354.0
AFG3L2,1162.0,1625.0,67.0,413.0
AFM,6.0,1223.0,0.0,0.0
AFMID,74.0,192.0,9.0,12.0
AFTPH,2407.0,1748.0,57.0,121.0
AGA,496.0,399.0,19.0,57.0
AGAP1,148.0,1114.0,16.0,83.0
AGAP1-IT1,0.0,2.0,0.0,0.0
AGAP11,0.0,0.0,0.0,0.0
AGAP2,796.0,44.0,7.0,1.0
AGAP2-AS1,10.0,67.0,8.0,4.0
AGAP3,1282.0,966.0,62.0,65.0
AGAP4,14.0,8.0,0.0,0.0
AGAP6,137.0,94.0,3.0,9.0
AGAP7,0.0,2.0,0.0,0.0
AGAP8,19.0,7.0,0.0,2.0
AGBL1,0.0,0.0,0.0,0.0
AGBL2,26.0,41.0,0.0,2.0
AGBL3,11.0,52.0,6.0,1.0
AGBL4,6.0,8.0,0.0,0.0
AGBL5,228.0,510.0,18.0,44.0
AGER,248.0,78.0,6.0,1.0
AGFG1,1380.0,1023.0,59.0,91.0
AGFG2,312.0,652.0,52.0,22.0
AGGF1,1520.0,1164.0,76.0,83.0
AGK,243.0,158.0,6.0,15.0
AGL,766.0,626.0,28.0,45.0
AGMAT,91.0,88.0,0.0,6.0
AGMO,2.0,110.0,0.0,4.0
AGO1,1357.0,680.0,45.0,67.0
AGO2,899.0,1003.0,26.0,143.0
AGO3,879.0,597.0,31.0,45.0
AGO4,1767.0,406.0,43.0,30.0
AGPAT1,336.0,365.0,18.0,24.0
AGPAT2,791.0,1804.0,23.0,175.0
AGPAT3,2754.0,1885.0,74.0,186.0
AGPAT4,288.0,121.0,14.0,11.0
AGPAT5,651.0,568.0,30.0,143.0
AGPAT6,1060.0,860.0,59.0,56.0
AGPAT9,685.0,290.0,11.0,21.0
AGPS,1331.0,975.0,37.0,118.0
AGR2,165.0,11722.0,9.0,352.0
AGR3,11.0,837.0,0.0,7.0
AGRN,87.0,1353.0,17.0,134.0
AGRP,54.0,1.0,0.0,0.0
AGT,25.0,2275.0,2.0,1.0
AGTPBP1,1340.0,279.0,32.0,30.0
AGTR1,2.0,13.0,0.0,0.0
AGTRAP,1066.0,646.0,28.0,68.0
AGXT,24.0,7.0,1.0,0.0
AGXT2,4.0,2.0,0.0,0.0
AHCTF1,793.0,798.0,47.0,97.0
AHCY,1334.0,2813.0,48.0,571.0
AHCYL1,2730.0,2714.0,137.0,211.0
AHCYL2,261.0,615.0,11.0,16.0
AHDC1,167.0,204.0,9.0,19.0
AHI1,366.0,632.0,26.0,36.0
AHNAK,24241.0,16201.0,762.0,1638.0
AHNAK2,141.0,6552.0,6.0,976.0
AHR,4301.0,4117.0,151.0,432.0
AHRR,24.0,25.0,4.0,0.0
AHSA1,1231.0,1572.0,44.0,164.0
AHSA2,1211.0,866.0,41.0,33.0
AHSG,22.0,14.0,4.0,1.0
AICDA,8.0,5.0,0.0,0.0
AIDA,123.0,129.0,8.0,7.0
AIF1,10051.0,217.0,79.0,15.0
AIF1L,13.0,75.0,74.0,9.0
AIFM1,623.0,570.0,23.0,60.0
AIFM2,173.0,376.0,5.0,32.0
AIFM3,125.0,57.0,1.0,3.0
AIG1,448.0,952.0,22.0,127.0
AIM1,2260.0,1011.0,32.0,306.0
AIM1L,38.0,177.0,1.0,21.0
AIM2,164.0,107.0,0.0,71.0
AIMP1,1104.0,1313.0,59.0,125.0
AIMP2,619.0,832.0,28.0,105.0
AIP,1716.0,1047.0,49.0,57.0
AIPL1,3.0,4.0,0.0,1.0
AIRE,1.0,0.0,0.0,0.0
AIRN,0.0,0.0,0.0,0.0
AJ009632.3,0.0,1.0,0.0,0.0
AJ239322.1,0.0,0.0,0.0,0.0
AJ271736.10,177.0,114.0,12.0,11.0
AJAP1,29.0,6.0,1.0,0.0
AJUBA,9.0,422.0,2.0,58.0
AK1,99.0,205.0,21.0,5.0
AK2,1930.0,1542.0,72.0,341.0
AK3,540.0,664.0,63.0,75.0
AK4,94.0,524.0,4.0,28.0
AK5,49.0,20.0,0.0,1.0
AK7,5.0,102.0,3.0,2.0
AK8,0.0,16.0,0.0,4.0
AK9,219.0,151.0,9.0,9.0
AKAP1,526.0,1956.0,28.0,128.0
AKAP10,788.0,455.0,33.0,45.0
AKAP11,2073.0,2319.0,76.0,166.0
AKAP12,203.0,3329.0,541.0,855.0
AKAP13,11158.0,5060.0,317.0,299.0
AKAP17A,1697.0,654.0,80.0,69.0
AKAP2,8.0,4.0,0.0,0.0
AKAP3,12.0,23.0,1.0,3.0
AKAP5,377.0,49.0,1.0,0.0
AKAP6,46.0,142.0,1.0,3.0
AKAP7,299.0,46.0,10.0,6.0
AKAP8,1170.0,850.0,42.0,79.0
AKAP8L,947.0,776.0,32.0,46.0
AKAP9,5148.0,7426.0,218.0,497.0
AKIP1,324.0,257.0,14.0,32.0
AKIRIN1,2078.0,1229.0,61.0,132.0
AKIRIN2,1121.0,354.0,23.0,57.0
AKNA,4367.0,287.0,69.0,20.0
AKNAD1,0.0,0.0,0.0,0.0
AKR1A1,3530.0,1706.0,93.0,321.0
AKR1B1,1838.0,396.0,138.0,76.0
AKR1B10,5.0,429.0,1.0,11.0
AKR1B15,2.0,6.0,0.0,0.0
AKR1C1,15.0,95.0,3.0,16.0
AKR1C2,5.0,143.0,0.0,72.0
AKR1C3,134.0,1027.0,71.0,53.0
AKR1C4,1.0,12.0,1.0,0.0
AKR1CL1,0.0,0.0,0.0,0.0
AKR1D1,5.0,0.0,0.0,0.0
AKR1E2,23.0,20.0,4.0,1.0
AKR7A2,634.0,679.0,30.0,53.0
AKR7A3,5.0,469.0,2.0,5.0
AKT1,1300.0,871.0,72.0,87.0
AKT1S1,212.0,257.0,16.0,32.0
AKT2,865.0,738.0,29.0,98.0
AKT3,766.0,640.0,84.0,55.0
AKTIP,245.0,289.0,14.0,16.0
AL009178.1,1.0,0.0,0.0,0.0
AL020996.1,7.0,3.0,0.0,0.0
AL022328.1,9.0,15.0,0.0,1.0
AL022344.5,0.0,0.0,0.0,0.0
AL022344.7,0.0,8.0,0.0,2.0
AL022476.2,3.0,4.0,0.0,0.0
AL031663.2,13.0,9.0,0.0,1.0
AL031666.2,4.0,9.0,0.0,1.0
AL033381.1,1.0,1.0,0.0,0.0
AL035252.1,3.0,11.0,0.0,0.0
AL035610.1,5.0,3.0,0.0,1.0
AL049829.1,12.0,5.0,1.0,0.0
AL049840.1,4.0,6.0,0.0,0.0
AL079342.1,0.0,0.0,0.0,0.0
AL109761.5,0.0,0.0,0.0,0.0
AL109927.1,4.0,3.0,0.0,1.0
AL117190.3,3.0,3.0,0.0,0.0
AL118506.1,0.0,0.0,0.0,0.0
AL121578.2,0.0,1.0,0.0,0.0
AL132709.5,3.0,5.0,2.0,0.0
AL132709.8,1.0,2.0,2.0,0.0
AL133245.2,2.0,1.0,0.0,0.0
AL133373.1,2.0,0.0,0.0,0.0
AL136376.1,13.0,26.0,0.0,1.0
AL136419.6,89.0,47.0,2.0,2.0
AL138847.1,0.0,1.0,0.0,0.0
AL139099.1,16.0,14.0,2.0,1.0
AL161784.1,42.0,7.0,3.0,4.0
AL161915.1,27.0,12.0,0.0,0.0
AL162759.1,0.0,0.0,0.0,0.0
AL163953.3,1.0,0.0,0.0,0.0
AL353354.2,46.0,17.0,2.0,4.0
AL354822.1,10.0,7.0,0.0,1.0
AL354933.1,0.0,15.0,0.0,5.0
AL357673.1,64.0,39.0,5.0,1.0
AL358113.1,2.0,16.0,0.0,0.0
AL359091.2,7.0,9.0,0.0,1.0
AL359195.1,1.0,0.0,0.0,0.0
AL359878.1,0.0,0.0,0.0,0.0
AL360004.1,0.0,1.0,0.0,0.0
AL391152.1,6.0,4.0,0.0,0.0
AL441883.1,18.0,23.0,0.0,3.0
AL450992.2,24.0,4.0,0.0,1.0
AL512428.1,73.0,2.0,2.0,1.0
AL589743.1,1.0,22.0,0.0,0.0
AL590483.1,0.0,0.0,0.0,0.0
AL590560.1,1.0,0.0,0.0,0.0
AL590714.1,0.0,0.0,0.0,0.0
AL590822.1,4.0,11.0,0.0,0.0
AL590822.2,11.0,16.0,1.0,2.0
AL591479.1,9.0,24.0,1.0,3.0
AL592183.1,274.0,197.0,16.0,3.0
AL592284.1,0.0,0.0,0.0,0.0
AL592494.5,7.0,1.0,0.0,0.0
AL603965.1,0.0,0.0,0.0,0.0
AL627171.2,0.0,0.0,0.0,0.0
AL627309.1,36.0,13.0,2.0,1.0
AL645728.1,33.0,6.0,1.0,3.0
AL645730.2,0.0,1.0,0.0,0.0
AL662800.1,15.0,1.0,1.0,1.0
AL928768.3,26.0,0.0,1.0,1.0
ALAD,1082.0,1019.0,44.0,67.0
ALAS1,1125.0,963.0,48.0,76.0
ALAS2,0.0,0.0,0.0,0.0
ALB,452.0,2629.0,38.0,3.0
ALCAM,4140.0,3477.0,28.0,324.0
ALDH16A1,671.0,343.0,39.0,64.0
ALDH18A1,408.0,823.0,14.0,81.0
ALDH1A1,999.0,2130.0,62.0,47.0
ALDH1A2,19.0,8.0,0.0,0.0
ALDH1A3,26.0,1133.0,1.0,122.0
ALDH1B1,187.0,332.0,7.0,51.0
ALDH1L1,10.0,201.0,1.0,35.0
ALDH1L2,39.0,38.0,0.0,11.0
ALDH2,4252.0,2489.0,110.0,54.0
ALDH3A1,5.0,166.0,0.0,45.0
ALDH3A2,993.0,1158.0,54.0,90.0
ALDH3B1,1498.0,1801.0,14.0,79.0
ALDH3B2,2.0,83.0,1.0,34.0
ALDH4A1,55.0,57.0,6.0,4.0
ALDH5A1,274.0,321.0,8.0,36.0
ALDH6A1,280.0,489.0,43.0,32.0
ALDH7A1,149.0,572.0,21.0,98.0
ALDH8A1,21.0,8.0,0.0,1.0
ALDH9A1,1637.0,1347.0,111.0,154.0
ALDOA,9530.0,14664.0,258.0,1354.0
ALDOB,86.0,224.0,10.0,0.0
ALDOC,310.0,357.0,7.0,24.0
ALG1,253.0,293.0,9.0,26.0
ALG10,44.0,26.0,1.0,7.0
ALG10B,32.0,30.0,0.0,9.0
ALG11,153.0,241.0,6.0,16.0
ALG12,250.0,234.0,7.0,25.0
ALG13,642.0,497.0,21.0,26.0
ALG14,89.0,197.0,9.0,6.0
ALG1L,2.0,56.0,0.0,13.0
ALG2,835.0,920.0,30.0,86.0
