,immune,endo,fibro,classic,basal
PHF13,33.0,82.0,72.0,158.0,9.0
THAP3,96.0,128.0,98.0,312.0,11.0
DNAJC11,150.0,211.0,99.0,528.0,12.0
CAMTA1,845.0,1851.0,967.0,3392.0,138.0
RP11-338N10.1,0.0,0.0,0.0,6.0,0.0
VAMP3,329.0,801.0,322.0,1212.0,44.0
PER3,33.0,164.0,63.0,302.0,7.0
TNFRSF9,59.0,5.0,7.0,16.0,0.0
PARK7,2585.0,2847.0,2459.0,6512.0,280.0
ERRFI1,265.0,564.0,849.0,4156.0,272.0
RP11-431K24.1,3.0,7.0,9.0,60.0,4.0
SLC45A1,5.0,54.0,19.0,20.0,2.0
RERE,171.0,646.0,247.0,815.0,23.0
ENO1,5230.0,2473.0,2976.0,11891.0,977.0
ENO1-AS1,12.0,7.0,2.0,14.0,0.0
SLC2A5,100.0,5.0,15.0,27.0,1.0
GPR157,40.0,30.0,23.0,176.0,9.0
RP3-510D11.2,11.0,9.0,10.0,43.0,2.0
H6PD,139.0,321.0,192.0,708.0,18.0
SPSB1,53.0,268.0,338.0,321.0,34.0
SLC25A33,94.0,147.0,94.0,318.0,8.0
TMEM201,20.0,57.0,33.0,56.0,1.0
PIK3CD,94.0,23.0,24.0,35.0,1.0
RP11-558F24.4,16.0,10.0,20.0,40.0,3.0
CLSTN1,229.0,645.0,339.0,1592.0,52.0
CTNNBIP1,293.0,360.0,173.0,955.0,85.0
LZIC,202.0,179.0,129.0,534.0,24.0
NMNAT1,36.0,87.0,37.0,137.0,6.0
RBP7,139.0,5173.0,45.0,93.0,4.0
UBE4B,86.0,158.0,62.0,311.0,17.0
KIF1B,103.0,305.0,163.0,435.0,7.0
PGD,528.0,117.0,130.0,675.0,21.0
APITD1,46.0,83.0,56.0,337.0,11.0
CORT,1.0,36.0,0.0,2.0,0.0
DFFA,157.0,542.0,173.0,625.0,23.0
PEX14,78.0,125.0,52.0,218.0,7.0
CASZ1,13.0,162.0,20.0,483.0,9.0
C1orf127,3.0,8.0,3.0,5.0,0.0
TARDBP,383.0,735.0,368.0,1279.0,38.0
RP4-635E18.8,10.0,50.0,24.0,83.0,2.0
SRM,469.0,519.0,615.0,881.0,64.0
EXOSC10,122.0,209.0,113.0,359.0,13.0
MTOR,59.0,120.0,59.0,157.0,9.0
UBIAD1,91.0,126.0,67.0,252.0,7.0
PTCHD2,0.0,1.0,1.0,5.0,0.0
FBXO2,47.0,21.0,57.0,1414.0,49.0
FBXO44,89.0,94.0,112.0,343.0,12.0
FBXO6,174.0,60.0,68.0,336.0,13.0
MAD2L2,285.0,296.0,198.0,406.0,23.0
AGTRAP,407.0,413.0,277.0,1171.0,82.0
C1orf167,7.0,24.0,30.0,101.0,1.0
MTHFR,81.0,174.0,99.0,308.0,4.0
CLCN6,59.0,73.0,46.0,140.0,4.0
NPPA-AS1,10.0,6.0,4.0,19.0,1.0
KIAA2013,164.0,343.0,162.0,774.0,27.0
PLOD1,150.0,342.0,494.0,493.0,51.0
MFN2,120.0,211.0,99.0,393.0,15.0
MIIP,215.0,132.0,129.0,405.0,15.0
TNFRSF1B,722.0,629.0,103.0,254.0,8.0
VPS13D,102.0,212.0,136.0,332.0,7.0
DHRS3,336.0,930.0,235.0,1553.0,35.0
RP11-474O21.5,3.0,3.0,2.0,10.0,0.0
PDPN,89.0,14.0,575.0,61.0,6.0
PRDM2,163.0,261.0,190.0,428.0,14.0
KAZN,7.0,150.0,72.0,118.0,3.0
TMEM51,253.0,93.0,82.0,709.0,13.0
FHAD1,27.0,3.0,17.0,40.0,5.0
RP3-467K16.4,2.0,0.0,0.0,4.0,0.0
EFHD2,720.0,488.0,156.0,3155.0,103.0
CASP9,47.0,61.0,45.0,141.0,4.0
DNAJC16,60.0,145.0,57.0,288.0,9.0
AGMAT,19.0,1.0,4.0,72.0,0.0
DDI2,111.0,203.0,80.0,475.0,13.0
PLEKHM2,135.0,219.0,128.0,315.0,13.0
SLC25A34,4.0,12.0,4.0,14.0,0.0
RP11-169K16.4,1.0,18.0,0.0,3.0,0.0
TMEM82,1.0,0.0,0.0,52.0,0.0
FBLIM1,60.0,303.0,598.0,1198.0,22.0
RP11-169K16.9,99.0,195.0,74.0,282.0,8.0
SPEN,172.0,432.0,195.0,628.0,17.0
ZBTB17,82.0,145.0,79.0,203.0,8.0
HSPB7,5.0,11.0,76.0,8.0,0.0
FAM131C,3.0,9.0,5.0,51.0,4.0
EPHA2,72.0,239.0,125.0,1511.0,51.0
RP11-276H7.2,1.0,5.0,1.0,26.0,0.0
RP11-276H7.3,0.0,0.0,0.0,10.0,0.0
ARHGEF19,19.0,64.0,54.0,149.0,11.0
C1orf134,0.0,2.0,0.0,7.0,0.0
RSG1,7.0,6.0,9.0,25.0,1.0
FBXO42,74.0,131.0,83.0,220.0,12.0
SZRD1,334.0,518.0,360.0,973.0,42.0
NECAP2,565.0,709.0,225.0,977.0,27.0
RP4-798A10.2,10.0,15.0,4.0,10.0,2.0
RP4-798A10.7,8.0,13.0,5.0,87.0,0.0
NBPF1,82.0,253.0,160.0,300.0,8.0
CROCCP2,73.0,161.0,76.0,259.0,6.0
CROCC,47.0,102.0,102.0,154.0,4.0
RP11-108M9.4,263.0,433.0,156.0,1029.0,24.0
RP11-108M9.6,3.0,5.0,4.0,31.0,1.0
MFAP2,54.0,199.0,897.0,150.0,25.0
ATP13A2,81.0,205.0,55.0,371.0,15.0
SDHB,692.0,602.0,436.0,1812.0,83.0
PADI2,107.0,10.0,10.0,30.0,3.0
PADI1,35.0,19.0,23.0,224.0,22.0
PADI4,13.0,2.0,0.0,1.0,0.0
RCC2,258.0,357.0,133.0,846.0,34.0
ARHGEF10L,78.0,62.0,59.0,382.0,10.0
IGSF21,33.0,4.0,2.0,8.0,0.0
KLHDC7A,0.0,16.0,4.0,64.0,0.0
ALDH4A1,15.0,25.0,12.0,63.0,0.0
IFFO2,25.0,84.0,27.0,119.0,7.0
UBR4,199.0,350.0,148.0,1277.0,47.0
RP1-43E13.2,19.0,32.0,14.0,32.0,0.0
EMC1,91.0,140.0,107.0,267.0,23.0
MRTO4,225.0,280.0,187.0,617.0,24.0
AKR7A3,35.0,32.0,25.0,2256.0,8.0
AKR7A2,386.0,415.0,425.0,1348.0,51.0
PQLC2,74.0,57.0,60.0,208.0,6.0
CAPZB,2658.0,1916.0,2299.0,4484.0,191.0
MINOS1-NBL1,4.0,1.0,3.0,12.0,0.0
MINOS1,2320.0,2354.0,2140.0,7849.0,273.0
NBL1,222.0,537.0,3165.0,3416.0,88.0
TMCO4,49.0,49.0,39.0,264.0,11.0
RNF186,3.0,6.0,3.0,394.0,0.0
OTUD3,17.0,46.0,22.0,140.0,0.0
PLA2G2A,76.0,71.0,2902.0,234.0,16.0
PLA2G5,1.0,3.0,48.0,3.0,5.0
RP3-340N1.2,5.0,3.0,2.0,88.0,0.0
UBXN10-AS1,14.0,2.0,12.0,36.0,0.0
UBXN10,7.0,14.0,17.0,189.0,3.0
CAMK2N1,129.0,162.0,761.0,6097.0,166.0
MUL1,68.0,139.0,74.0,332.0,7.0
FAM43B,2.0,16.0,15.0,3.0,0.0
CDA,105.0,493.0,53.0,1193.0,122.0
PINK1,102.0,829.0,173.0,692.0,33.0
PINK1-AS,14.0,13.0,9.0,32.0,3.0
DDOST,668.0,627.0,574.0,1818.0,76.0
KIF17,26.0,213.0,11.0,7.0,0.0
HP1BP3,586.0,1163.0,719.0,2113.0,57.0
RP5-930J4.4,1.0,0.0,2.0,4.0,0.0
EIF4G3,169.0,411.0,175.0,500.0,14.0
ECE1,101.0,1504.0,338.0,980.0,42.0
NBPF3,2.0,15.0,6.0,19.0,4.0
ALPL,8.0,410.0,20.0,21.0,1.0
RAP1GAP,29.0,82.0,29.0,529.0,4.0
USP48,237.0,297.0,210.0,677.0,26.0
LDLRAD2,7.0,39.0,10.0,17.0,1.0
HSPG2,323.0,8140.0,944.0,1794.0,94.0
LINC00339,40.0,63.0,19.0,75.0,6.0
CDC42,2663.0,3323.0,1630.0,6933.0,235.0
RP1-224A6.9,1.0,2.0,0.0,4.0,0.0
WNT4,4.0,8.0,17.0,43.0,2.0
ZBTB40,42.0,65.0,27.0,92.0,8.0
EPHA8,0.0,0.0,0.0,14.0,0.0
C1QA,8528.0,309.0,241.0,378.0,23.0
C1QC,7006.0,141.0,117.0,148.0,10.0
C1QB,8824.0,241.0,220.0,307.0,14.0
EPHB2,35.0,18.0,42.0,129.0,11.0
KDM1A,87.0,207.0,124.0,414.0,21.0
LUZP1,188.0,1275.0,252.0,633.0,19.0
HTR1D,3.0,1.0,2.0,91.0,0.0
RP5-1057J7.6,23.0,60.0,50.0,152.0,5.0
HNRNPR,800.0,1123.0,772.0,2115.0,100.0
ZNF436,20.0,210.0,37.0,65.0,5.0
C1orf213,7.0,18.0,26.0,66.0,1.0
RP5-1057J7.7,1.0,5.0,3.0,13.0,0.0
TCEA3,58.0,239.0,174.0,1207.0,19.0
ASAP3,13.0,70.0,44.0,92.0,2.0
ID3,762.0,5698.0,4115.0,795.0,32.0
MDS2,14.0,0.0,3.0,3.0,0.0
RPL11,28250.0,28860.0,19882.0,62673.0,2052.0
TCEB3,146.0,327.0,132.0,422.0,13.0
RP5-886K2.3,36.0,54.0,33.0,111.0,7.0
PITHD1,290.0,367.0,255.0,757.0,25.0
LYPLA2,270.0,362.0,124.0,1040.0,44.0
GALE,155.0,137.0,62.0,2137.0,75.0
HMGCL,172.0,211.0,168.0,721.0,20.0
FUCA1,323.0,220.0,136.0,1127.0,37.0
CNR2,7.0,1.0,2.0,4.0,0.0
PNRC2,146.0,248.0,123.0,420.0,13.0
SRSF10,258.0,510.0,232.0,1085.0,35.0
MYOM3,5.0,20.0,3.0,49.0,2.0
IL22RA1,7.0,7.0,6.0,177.0,3.0
IFNLR1,44.0,14.0,3.0,58.0,1.0
GRHL3,0.0,0.0,0.0,10.0,1.0
STPG1,26.0,78.0,19.0,197.0,6.0
NIPAL3,103.0,232.0,41.0,336.0,18.0
RCAN3,208.0,88.0,33.0,545.0,19.0
RP4-594I10.3,17.0,10.0,6.0,65.0,5.0
NCMAP,8.0,39.0,10.0,279.0,2.0
SRRM1,1149.0,1427.0,718.0,2666.0,94.0
CLIC4,314.0,2171.0,874.0,588.0,38.0
RUNX3,270.0,31.0,32.0,56.0,20.0
SYF2,1214.0,1805.0,1087.0,3865.0,124.0
C1orf63,1015.0,1508.0,700.0,2307.0,73.0
RP3-465N24.6,2.0,3.0,1.0,16.0,0.0
TMEM50A,1566.0,2489.0,1320.0,4869.0,178.0
RHCE,1.0,2.0,0.0,5.0,0.0
TMEM57,124.0,316.0,95.0,532.0,19.0
LDLRAP1,125.0,162.0,54.0,311.0,11.0
RP11-70P17.1,1.0,10.0,5.0,9.0,0.0
MAN1C1,32.0,107.0,97.0,21.0,2.0
RP1-187B23.1,20.0,23.0,7.0,5.0,0.0
SEPN1,142.0,1182.0,211.0,447.0,13.0
MTFR1L,138.0,169.0,184.0,402.0,16.0
PAQR7,37.0,69.0,62.0,233.0,17.0
STMN1,2391.0,1944.0,564.0,3180.0,221.0
PAFAH2,63.0,62.0,26.0,251.0,6.0
SLC30A2,7.0,16.0,5.0,22.0,1.0
PDIK1L,24.0,60.0,16.0,109.0,3.0
FAM110D,15.0,1256.0,10.0,19.0,0.0
ZNF593,353.0,541.0,347.0,2212.0,58.0
CNKSR1,20.0,28.0,13.0,536.0,20.0
CEP85,30.0,17.0,10.0,90.0,3.0
SH3BGRL3,12105.0,5974.0,3268.0,21976.0,959.0
UBXN11,168.0,91.0,75.0,525.0,5.0
CD52,6273.0,859.0,572.0,1015.0,70.0
AIM1L,15.0,12.0,5.0,243.0,11.0
ZNF683,68.0,9.0,12.0,15.0,2.0
DHDDS,90.0,109.0,84.0,358.0,7.0
HMGN2,4222.0,2103.0,2046.0,5923.0,255.0
RPS6KA1,344.0,70.0,29.0,415.0,16.0
ARID1A,285.0,532.0,224.0,805.0,30.0
PIGV,36.0,63.0,53.0,191.0,9.0
ZDHHC18,62.0,103.0,55.0,217.0,5.0
SFN,128.0,94.0,78.0,5483.0,291.0
GPN2,108.0,163.0,83.0,306.0,14.0
GPATCH3,62.0,79.0,32.0,115.0,6.0
NUDC,776.0,1124.0,910.0,3110.0,108.0
NR0B2,17.0,52.0,13.0,390.0,0.0
C1orf172,13.0,27.0,10.0,403.0,15.0
TRNP1,28.0,64.0,49.0,1430.0,8.0
FAM46B,0.0,5.0,14.0,85.0,16.0
SLC9A1,60.0,143.0,87.0,590.0,11.0
WDTC1,80.0,156.0,87.0,359.0,15.0
TMEM222,136.0,203.0,139.0,516.0,16.0
SYTL1,210.0,41.0,30.0,746.0,32.0
MAP3K6,57.0,617.0,109.0,323.0,12.0
FCN3,19.0,1207.0,15.0,21.0,0.0
CD164L2,0.0,0.0,1.0,35.0,6.0
GPR3,2.0,37.0,3.0,5.0,0.0
WASF2,826.0,2210.0,942.0,2011.0,108.0
RP1-159A19.4,6.0,0.0,4.0,20.0,0.0
AHDC1,64.0,296.0,133.0,425.0,18.0
FGR,603.0,225.0,40.0,82.0,3.0
RP11-288L9.1,1.0,1.0,0.0,8.0,0.0
IFI6,4581.0,3697.0,2074.0,18584.0,247.0
FAM76A,78.0,158.0,129.0,312.0,11.0
STX12,325.0,802.0,353.0,818.0,26.0
PPP1R8,181.0,224.0,175.0,450.0,24.0
THEMIS2,594.0,50.0,43.0,176.0,7.0
RPA2,403.0,288.0,258.0,636.0,20.0
SMPDL3B,22.0,10.0,4.0,301.0,8.0
XKR8,53.0,42.0,34.0,112.0,5.0
EYA3,89.0,140.0,60.0,253.0,5.0
PTAFR,345.0,222.0,8.0,256.0,13.0
DNAJC8,910.0,1237.0,861.0,1681.0,68.0
AL353354.2,0.0,1.0,0.0,3.0,0.0
ATPIF1,1847.0,2456.0,1465.0,10168.0,220.0
RP5-1092A3.4,25.0,13.0,8.0,145.0,2.0
SESN2,54.0,51.0,45.0,158.0,2.0
MED18,38.0,45.0,26.0,142.0,6.0
PHACTR4,185.0,606.0,164.0,867.0,23.0
RCC1,87.0,84.0,58.0,381.0,16.0
TRNAU1AP,222.0,242.0,166.0,597.0,30.0
SNHG12,213.0,110.0,119.0,703.0,7.0
TAF12,371.0,414.0,308.0,853.0,47.0
RAB42,78.0,0.0,15.0,44.0,4.0
RP11-442N24--B.1,5.0,9.0,3.0,6.0,2.0
RNU11,35.0,52.0,10.0,7.0,0.0
GMEB1,81.0,158.0,57.0,164.0,8.0
YTHDF2,424.0,897.0,404.0,1388.0,57.0
EPB41,140.0,119.0,26.0,384.0,8.0
TMEM200B,2.0,15.0,83.0,53.0,5.0
SRSF4,501.0,1235.0,532.0,1462.0,42.0
MECR,75.0,95.0,107.0,275.0,20.0
PTPRU,13.0,46.0,53.0,336.0,23.0
MATN1-AS1,22.0,14.0,7.0,39.0,2.0
LAPTM5,6734.0,551.0,384.0,623.0,62.0
SDC3,86.0,215.0,111.0,294.0,15.0
PUM1,263.0,690.0,270.0,1340.0,59.0
SNRNP40,344.0,396.0,245.0,623.0,25.0
ZCCHC17,259.0,475.0,215.0,696.0,27.0
FABP3,142.0,7.0,31.0,148.0,2.0
SERINC2,145.0,170.0,148.0,4724.0,89.0
TINAGL1,200.0,1887.0,1176.0,3323.0,129.0
PEF1,271.0,702.0,280.0,980.0,44.0
COL16A1,44.0,38.0,494.0,541.0,20.0
BAI2,1.0,3.0,31.0,30.0,0.0
SPOCD1,16.0,6.0,56.0,67.0,2.0
RP11-84A19.2,8.0,3.0,6.0,8.0,0.0
RP11-84A19.4,2.0,4.0,2.0,6.0,0.0
PTP4A2,737.0,901.0,520.0,4430.0,151.0
KHDRBS1,848.0,1280.0,803.0,2431.0,103.0
RP11-277A4.4,1.0,2.0,0.0,1.0,0.0
TMEM39B,98.0,197.0,86.0,180.0,10.0
KPNA6,234.0,608.0,280.0,990.0,34.0
TXLNA,93.0,247.0,143.0,426.0,18.0
CCDC28B,85.0,115.0,177.0,166.0,12.0
RP4-622L5.7,3.0,4.0,2.0,14.0,1.0
IQCC,11.0,9.0,13.0,36.0,1.0
TMEM234,70.0,145.0,82.0,309.0,9.0
EIF3I,1179.0,1507.0,1092.0,3255.0,151.0
FAM167B,33.0,2405.0,37.0,88.0,2.0
LCK,618.0,77.0,48.0,199.0,5.0
HDAC1,392.0,921.0,223.0,2134.0,67.0
MARCKSL1,558.0,2696.0,804.0,10012.0,130.0
FAM229A,10.0,45.0,19.0,109.0,2.0
BSDC1,203.0,500.0,237.0,1187.0,38.0
ZBTB8A,16.0,312.0,101.0,150.0,5.0
ZBTB8OS,519.0,468.0,322.0,1536.0,33.0
RBBP4,568.0,757.0,452.0,1721.0,78.0
SYNC,93.0,181.0,134.0,278.0,15.0
KIAA1522,53.0,215.0,49.0,1374.0,40.0
YARS,164.0,156.0,122.0,536.0,18.0
S100PBP,134.0,212.0,116.0,230.0,13.0
HPCA,2.0,2.0,9.0,29.0,1.0
TMEM54,72.0,296.0,152.0,3280.0,107.0
RNF19B,95.0,135.0,71.0,342.0,18.0
AK2,491.0,852.0,419.0,2342.0,89.0
ADC,18.0,39.0,65.0,35.0,4.0
TRIM62,12.0,18.0,16.0,27.0,3.0
ZNF362,68.0,180.0,100.0,159.0,11.0
PHC2,342.0,525.0,319.0,900.0,49.0
ZSCAN20,2.0,12.0,4.0,19.0,1.0
CSMD2,1.0,19.0,12.0,15.0,0.0
SMIM12,307.0,488.0,256.0,814.0,32.0
GJB5,5.0,4.0,2.0,123.0,21.0
GJB4,5.0,8.0,2.0,224.0,11.0
GJB3,25.0,20.0,20.0,852.0,66.0
GJA4,46.0,1018.0,769.0,88.0,4.0
DLGAP3,22.0,12.0,4.0,23.0,1.0
RP11-244H3.4,46.0,71.0,52.0,95.0,3.0
ZMYM6NB,4.0,6.0,6.0,8.0,1.0
ZMYM6,85.0,82.0,60.0,217.0,2.0
ZMYM1,40.0,50.0,33.0,110.0,5.0
SFPQ,818.0,1546.0,737.0,2137.0,77.0
ZMYM4,89.0,182.0,107.0,371.0,19.0
KIAA0319L,120.0,306.0,108.0,673.0,17.0
NCDN,25.0,69.0,62.0,109.0,6.0
RP4-728D4.2,23.0,3.0,1.0,8.0,1.0
PSMB2,1022.0,1136.0,706.0,3423.0,145.0
C1orf216,58.0,63.0,97.0,74.0,2.0
CLSPN,138.0,11.0,24.0,116.0,6.0
AGO4,103.0,131.0,41.0,202.0,4.0
AGO1,96.0,118.0,73.0,249.0,9.0
AGO3,137.0,369.0,136.0,469.0,10.0
TEKT2,1.0,7.0,5.0,24.0,0.0
ADPRHL2,214.0,217.0,162.0,632.0,30.0
COL8A2,71.0,6.0,251.0,37.0,5.0
TRAPPC3,483.0,605.0,420.0,1466.0,75.0
MAP7D1,360.0,522.0,346.0,822.0,53.0
THRAP3,637.0,843.0,546.0,1401.0,73.0
SH3D21,38.0,15.0,15.0,81.0,6.0
EVA1B,98.0,548.0,268.0,232.0,22.0
RP11-268J15.5,6.0,17.0,8.0,75.0,1.0
STK40,74.0,94.0,64.0,251.0,8.0
LSM10,538.0,409.0,328.0,895.0,45.0
OSCP1,6.0,37.0,49.0,144.0,7.0
MRPS15,583.0,615.0,463.0,1885.0,72.0
CSF3R,411.0,34.0,17.0,54.0,0.0
GRIK3,1.0,1.0,0.0,1.0,0.0
LINC01137,16.0,34.0,25.0,219.0,6.0
ZC3H12A,123.0,118.0,109.0,1233.0,24.0
MEAF6,705.0,992.0,646.0,2284.0,85.0
SNIP1,40.0,70.0,48.0,157.0,7.0
DNALI1,12.0,81.0,81.0,374.0,8.0
GNL2,184.0,244.0,228.0,623.0,24.0
C1orf109,55.0,108.0,56.0,173.0,14.0
CDCA8,70.0,8.0,9.0,141.0,3.0
EPHA10,6.0,1.0,5.0,144.0,1.0
MANEAL,9.0,15.0,5.0,146.0,5.0
YRDC,61.0,132.0,68.0,266.0,14.0
C1orf122,312.0,397.0,504.0,1226.0,74.0
MTF1,48.0,132.0,56.0,200.0,6.0
INPP5B,59.0,98.0,42.0,102.0,2.0
SF3A3,306.0,390.0,236.0,617.0,24.0
FHL3,195.0,208.0,288.0,207.0,12.0
UTP11L,298.0,590.0,306.0,741.0,35.0
RRAGC,222.0,237.0,180.0,532.0,24.0
RP5-864K19.4,12.0,10.0,7.0,20.0,0.0
MYCBP,188.0,179.0,97.0,617.0,22.0
RHBDL2,8.0,23.0,24.0,582.0,25.0
AKIRIN1,291.0,395.0,281.0,869.0,28.0
NDUFS5,3333.0,3450.0,3560.0,12103.0,451.0
MACF1,441.0,1518.0,552.0,1577.0,67.0
KIAA0754,33.0,63.0,25.0,129.0,2.0
RP11-69E11.4,55.0,29.0,30.0,49.0,5.0
PABPC4,775.0,490.0,473.0,1025.0,56.0
HEYL,36.0,45.0,476.0,50.0,4.0
PPIE,307.0,334.0,293.0,787.0,43.0
BMP8B,2.0,7.0,18.0,35.0,0.0
OXCT2,2.0,7.0,11.0,6.0,1.0
TRIT1,79.0,99.0,72.0,250.0,7.0
MYCL,43.0,5.0,8.0,55.0,1.0
MFSD2A,31.0,13.0,17.0,203.0,6.0
CAP1,2587.0,1958.0,1588.0,4535.0,203.0
PPT1,1850.0,653.0,489.0,762.0,41.0
RLF,97.0,121.0,90.0,208.0,6.0
RP1-39G22.7,38.0,101.0,55.0,203.0,6.0
ZMPSTE24,223.0,323.0,199.0,873.0,40.0
COL9A2,50.0,20.0,24.0,419.0,5.0
